flux.name,year,LULC,climate,obs.baseline,obs,PCR.mean,PCR.sd,change.overall.mean,change.overall.sd,change.climate.mean,change.climate.sd,change.LULC.mean,change.LULC.sd,change.overall.min,change.overall.max,change.climate.min,change.climate.max,change.LULC.min,change.LULC.max,avg.obs,avg.PCR.mean,avg.PCR.sd,avg.change.overall.mean,avg.change.overall.sd,avg.change.climate.mean,avg.change.climate.sd,avg.change.LULC.mean,avg.change.LULC.sd,avg.change.overall.min,avg.change.overall.max,avg.change.climate.min,avg.change.climate.max,avg.change.LULC.min,avg.change.LULC.max,change.overall.mean.prc,change.overall.sd.prc,change.overall.min.prc,change.overall.max.prc,avg.change.overall.mean.prc,avg.change.overall.sd.prc,avg.change.overall.min.prc,avg.change.overall.max.prc,change.LULC.mean.prc,change.LULC.sd.prc,change.LULC.min.prc,change.LULC.max.prc,avg.change.LULC.mean.prc,avg.change.LULC.sd.prc,avg.change.LULC.min.prc,avg.change.LULC.max.prc,change.climate.mean.prc,change.climate.sd.prc,change.climate.min.prc,change.climate.max.prc,avg.change.climate.mean.prc,avg.change.climate.sd.prc,avg.change.climate.min.prc,avg.change.climate.max.prc
aet,1987,AI,AI,421.597559697516,426.734260263354,436.807221821988,2.61112010129271,5.13670056583771,0,15.2096621244714,2.61112010129271,-10.0729615586337,2.61112010129271,5.13670056583771,5.13670056583771,12.5985420231787,17.8207822257641,-12.6840816599264,-7.461841457341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.21838953942787,0,1.21838953942787,1.21838953942787,NA,NA,NA,NA,-2.38923621044219,0.619339472260254,-3.00857568270245,-1.76989673818194,NA,NA,NA,NA,3.60762574987006,0.619339472260254,2.98828627760981,4.22696522213032,NA,NA,NA,NA
aet,1988,AI,AI,421.597559697516,436.878636623904,400.327846674158,6.64941544170704,15.2810769263875,0,-21.2697130233582,6.64941544170704,36.5507899497458,6.64941544170704,15.2810769263875,15.2810769263875,-27.9191284650653,-14.6202975816512,29.9013745080387,43.2002053914528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6245648426787,0,3.6245648426787,3.6245648426787,NA,NA,NA,NA,8.66959238947442,1.57719495494182,7.09239743453261,10.2467873444162,NA,NA,NA,NA,-5.04502754679572,1.57719495494182,-6.62222250173754,-3.46783259185391,NA,NA,NA,NA
aet,1989,AI,AI,421.597559697516,351.098842608533,361.534517327825,3.09147125273744,-70.498717088983,0,-60.0630423696918,3.09147125273744,-10.4356747192913,3.09147125273744,-70.498717088983,-70.498717088983,-63.1545136224292,-56.9715711169543,-13.5271459720287,-7.34420346655384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.7218038784579,0,-16.7218038784579,-16.7218038784579,NA,NA,NA,NA,-2.47526924178085,0.733275414344305,-3.20854465612515,-1.74199382743654,NA,NA,NA,NA,-14.246534636677,0.733275414344305,-14.9798100510213,-13.5132592223327,NA,NA,NA,NA
aet,1990,AI,AI,421.597559697516,375.618246089747,381.392517401007,3.0121639389018,-45.9793136077691,0,-40.2050422965099,3.0121639389018,-5.77427131125916,3.0121639389018,-45.9793136077691,-45.9793136077691,-43.2172062354117,-37.1928783576081,-8.78643525016095,-2.76210737235736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.9059724256369,0,-10.9059724256369,-10.9059724256369,NA,NA,NA,NA,-1.36961687240363,0.714464272768309,-2.08408114517194,-0.655152599635322,NA,NA,NA,NA,-9.53635555323324,0.714464272768309,-10.2508198260015,-8.82189128046493,NA,NA,NA,NA
aet,1991,AI,AI,421.597559697516,370.926368880389,372.590713998889,3.32008157208514,-50.6711908171272,0,-49.006845698627,3.32008157208514,-1.66434511850022,3.32008157208514,-50.6711908171272,-50.6711908171272,-52.3269272707122,-45.6867641265419,-4.98442669058536,1.65573645358492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.0188529680965,0,-12.0188529680965,-12.0188529680965,NA,NA,NA,NA,-0.39477105125901,0.787500187256112,-1.18227123851512,0.392729135997102,NA,NA,NA,NA,-11.6240819168375,0.787500187256112,-12.4115821040936,-10.8365817295813,NA,NA,NA,NA
aet,1992,AI,AI,421.597559697516,355.547758591697,342.907894484569,3.76347338941973,-66.0498011058196,0,-78.689665212947,3.76347338941973,12.6398641071274,3.76347338941973,-66.0498011058196,-66.0498011058196,-82.4531386023667,-74.9261918235273,8.87639071770767,16.4033374965471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15.666552043899,0,-15.666552043899,-15.666552043899,NA,NA,NA,NA,2.9980875876502,0.892669633125938,2.10541795452427,3.89075722077614,NA,NA,NA,NA,-18.6646396315492,0.892669633125939,-19.5573092646752,-17.7719699984233,NA,NA,NA,NA
aet,1993,AI,AI,421.597559697516,357.816080330109,377.524331146221,6.4793399244781,-63.7814793674075,0,-44.0732285512959,6.4793399244781,-19.7082508161117,6.4793399244781,-63.7814793674075,-63.7814793674075,-50.552568475774,-37.5938886268178,-26.1875907405898,-13.2289108916336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15.1285219518749,0,-15.1285219518749,-15.1285219518749,NA,NA,NA,NA,-4.67465960435154,1.53685422874052,-6.21151383309205,-3.13780537561103,NA,NA,NA,NA,-10.4538623475233,1.53685422874052,-11.9907165762638,-8.91700811878282,NA,NA,NA,NA
aet,1994,AI,AI,421.597559697516,403.738342784549,429.262829362393,2.68298635627188,-17.859216912967,0,7.66526966487698,2.68298635627188,-25.524486577844,2.68298635627188,-17.859216912967,-17.859216912967,4.9822833086051,10.3482560211489,-28.2074729341159,-22.8415002215721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.23608166180575,0,-4.23608166180575,-4.23608166180575,NA,NA,NA,NA,-6.05423015165388,0.63638564658601,-6.69061579823989,-5.41784450506787,NA,NA,NA,NA,1.81814848984813,0.63638564658601,1.18176284326212,2.45453413643414,NA,NA,NA,NA
aet,1995,AI,AI,421.597559697516,413.355969524984,426.992171463974,2.19122282991902,-8.24159017253214,0,5.39461176645785,2.19122282991902,-13.63620193899,2.19122282991902,-8.24159017253214,-8.24159017253214,3.20338893653884,7.58583459637687,-15.827424768909,-11.444979109071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.95484769372129,0,-1.95484769372129,-1.95484769372129,NA,NA,NA,NA,-3.23441197068919,0.519742768789069,-3.75415473947826,-2.71466920190013,NA,NA,NA,NA,1.2795642769679,0.519742768789069,0.759821508178836,1.79930704575697,NA,NA,NA,NA
aet,1996,AI,AI,421.597559697516,384.28813907854,370.200763684191,2.28411375273013,-37.3094206189767,0,-51.3967960133251,2.28411375273013,14.0873753943484,2.28411375273013,-37.3094206189767,-37.3094206189767,-53.6809097660552,-49.1126822605949,11.8032616416182,16.3714891470785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.8495342918363,0,-8.8495342918363,-8.8495342918363,NA,NA,NA,NA,3.34142716681179,0.541775847651708,2.79965131916008,3.88320301446349,NA,NA,NA,NA,-12.1909614586481,0.541775847651708,-12.7327373062998,-11.6491856109964,NA,NA,NA,NA
aet,1997,AI,AI,421.597559697516,406.676149832596,409.700158700002,2.22685463532959,-14.9214098649202,0,-11.8974009975147,2.22685463532959,-3.0240088674055,2.22685463532959,-14.9214098649202,-14.9214098649202,-14.1242556328443,-9.67054636218508,-5.2508635027351,-0.79715423207591,389.334435873491,391.749178733202,3.48293119953387,-32.2631238240252,0,-29.8483809643148,3.48293119953387,-2.41474285971037,3.48293119953387,-32.2631238240252,-32.2631238240252,-33.3313121638487,-26.365449764781,-5.89767405924424,1.06818833982351,-3.53925432481769,0,-3.53925432481769,-3.53925432481769,-7.65258789618541,0,-7.65258789618541,-7.65258789618541,-0.717273807176479,0.528194384456896,-1.24546819163337,-0.189079422719582,-0.572760160529124,0.826126982810994,-1.39888714334012,0.25336682228187,-2.82198051764121,0.528194384456896,-3.3501749020981,-2.29378613318431,-7.07982773565629,0.826126982810994,-7.90595471846728,-6.2537007528453
aet,1998,AI,AI,421.597559697516,494.902939492945,469.353883202793,2.14005368999279,73.3053797954286,0,47.7563235052769,2.14005368999279,25.5490562901517,2.14005368999279,73.3053797954286,73.3053797954286,45.6162698152841,49.8963771952697,23.4090026001589,27.6891099801445,395.531588530727,394.707966131457,3.44010698032479,-26.0659711667897,0,-26.8895935660598,3.44010698032479,0.823622399270124,3.44010698032479,-26.0659711667897,-26.0659711667897,-30.3297005463846,-23.449486585735,-2.61648458105466,4.26372937959491,17.3875246925108,0,17.3875246925108,17.3875246925108,-6.18266651863242,0,-6.18266651863242,-6.18266651863242,6.06005791600937,0.5076058057661,5.55245211024327,6.56766372177547,0.195357487330109,0.815969376766071,-0.620611889435962,1.01132686409618,11.3274667765014,0.5076058057661,10.8198609707353,11.8350725822675,-6.37802400596253,0.815969376766071,-7.1939933827286,-5.56205462919646
aet,1999,AI,AI,421.597559697516,472.396516324031,473.602360807484,1.95835596818186,50.798956626515,0,52.0048011099671,1.95835596818187,-1.20584448345214,1.95835596818187,50.798956626515,50.798956626515,50.0464451417852,53.963157078149,-3.16420045163401,0.752511484729726,398.760486685284,401.369285598123,3.01364702818614,-22.8370730122326,0,-20.2282740993939,3.01364702818614,-2.60879891283878,3.01364702818614,-22.8370730122326,-22.8370730122326,-23.24192112758,-17.2146270712077,-5.62244594102491,0.404848115347358,12.04915812676,0,12.04915812676,12.04915812676,-5.41679440189776,0,-5.41679440189776,-5.41679440189776,-0.286017899230085,0.464508373717089,-0.750526272947174,0.178490474487004,-0.618788902552119,0.714816051200186,-1.33360495375231,0.0960271486480672,12.33517602599,0.464508373717089,11.870667652273,12.7996843997071,-4.79800549934564,0.714816051200186,-5.51282155054583,-4.08318944814546
