var
prec
VPD
prec.days
prec.gt.12
defc
prec.1mo
prec.2mo
prec.3mo
prec.6mo
prec.12mo
relh.1mo
relh.2mo
relh.3mo
relh.6mo
relh.12mo
rads.6mo
rads.12mo
ea.2mo
ea.3mo
ea.6mo
ea.12mo
VPD.1mo
VPD.2mo
VPD.3mo
VPD.6mo
VPD.12mo
RET.1mo
RET.2mo
RET.3mo
RET.6mo
RET.12mo
defc.1mo
defc.2mo
defc.3mo
defc.6mo
defc.12mo
prec.sq
defc.sq
defc.12mo.sq
