flux.name,year,LULC,climate,obs.baseline,obs,PLS.mean,PLS.sd,change.overall.mean,change.overall.sd,change.climate.mean,change.climate.sd,change.LULC.mean,change.LULC.sd,change.overall.min,change.overall.max,change.climate.min,change.climate.max,change.LULC.min,change.LULC.max,avg.obs,avg.PLS.mean,avg.PLS.sd,avg.change.overall.mean,avg.change.overall.sd,avg.change.climate.mean,avg.change.climate.sd,avg.change.LULC.mean,avg.change.LULC.sd,avg.change.overall.min,avg.change.overall.max,avg.change.climate.min,avg.change.climate.max,avg.change.LULC.min,avg.change.LULC.max,change.overall.mean.prc,change.overall.sd.prc,change.overall.min.prc,change.overall.max.prc,avg.change.overall.mean.prc,avg.change.overall.sd.prc,avg.change.overall.min.prc,avg.change.overall.max.prc,change.LULC.mean.prc,change.LULC.sd.prc,change.LULC.min.prc,change.LULC.max.prc,avg.change.LULC.mean.prc,avg.change.LULC.sd.prc,avg.change.LULC.min.prc,avg.change.LULC.max.prc,change.climate.mean.prc,change.climate.sd.prc,change.climate.min.prc,change.climate.max.prc,avg.change.climate.mean.prc,avg.change.climate.sd.prc,avg.change.climate.min.prc,avg.change.climate.max.prc
aet,2060,AR,AR,421.597559697516,506.121178303616,493.12107059947,2.12279072636008,84.5236186060997,0,71.5235109019538,2.12279072636008,13.0001077041459,2.12279072636008,84.5236186060997,84.5236186060997,69.4007201755937,73.6463016283139,10.8773169777858,15.1228984305059,510.958127037319,508.161123768266,2.18320122775912,89.3605673398025,0,86.5635640707494,2.18320122775912,2.7970032690531,2.18320122775912,89.3605673398025,89.3605673398025,84.3803628429903,88.7467652985085,0.613802041293982,4.98020449681223,20.0484126774222,0,20.0484126774222,20.0484126774222,21.1957031734045,0,21.1957031734045,21.1957031734045,3.0835348557219,0.503511151222772,2.58002370449913,3.58704600694467,0.663429662889859,0.517840100717259,0.1455895621726,1.18126976360712,16.9648778217003,0.503511151222772,16.4613666704776,17.4683889729231,20.5322735105147,0.517840100717259,20.0144334097974,21.0501136112319
aet,2061,AR,AR,421.597559697516,477.381929963692,522.208805279365,2.53301480292234,55.7843702661751,0,100.611245581849,2.53301480292234,-44.8268753156736,2.53301480292234,55.7843702661751,55.7843702661751,98.0782307789264,103.144260384771,-47.3598901185959,-42.2938605127513,506.251134574941,507.408860178943,2.23776332669609,84.6535748774246,0,85.8113004814265,2.23776332669609,-1.1577256040019,2.23776332669609,84.6535748774246,84.6535748774246,83.5735371547304,88.0490638081226,-3.39548893069798,1.08003772269419,13.2316634627104,0,13.2316634627104,13.2316634627104,20.0792373983761,0,20.0792373983761,20.0792373983761,-10.6326221024229,0.600813440367089,-11.23343554279,-10.0318086620558,-0.27460443671271,0.530781849947523,-0.805386286660232,0.256177413234813,23.8642855651333,0.600813440367089,23.2634721247662,24.4650990055004,20.3538418350888,0.530781849947523,19.8230599851413,20.8846236850363
aet,2062,AR,AR,421.597559697516,492.787016696008,505.019598318189,1.89438821311888,71.1894569984919,0,83.4220386206728,1.89438821311888,-12.2325816221809,1.89438821311888,71.1894569984919,71.1894569984919,81.5276504075539,85.3164268337917,-14.1269698352997,-10.338193409062,499.681519397208,503.232627555643,2.1870469287447,78.0839596996914,0,81.6350678581266,2.1870469287447,-3.55110815843519,2.1870469287447,78.0839596996914,78.0839596996914,79.4480209293819,83.8221147868713,-5.73815508717989,-1.36406122969048,16.885642566235,0,16.885642566235,16.885642566235,18.5209705093441,0,18.5209705093441,18.5209705093441,-2.90148302351592,0.449335668469724,-3.35081869198565,-2.4521473550462,-0.842298081844449,0.518752274162555,-1.361050356007,-0.323545807681894,19.7871255897509,0.449335668469724,19.3377899212812,20.2364612582207,19.3632685911885,0.518752274162555,18.844516317026,19.8820208653511
aet,2063,AR,AR,421.597559697516,561.258774969034,540.593810381354,1.72436064023718,139.661215271518,0,118.996250683838,1.72436064023718,20.6649645876798,1.72436064023718,139.661215271518,139.661215271518,117.271890043601,120.720611324075,18.9406039474426,22.3893252279169,509.253777985536,509.191076097388,2.13270429000892,87.6562182880193,0,87.593516399872,2.13270429000892,0.062701888147409,2.13270429000892,87.6562182880193,87.6562182880193,85.4608121098631,89.7262206898809,-2.07000240186151,2.19540617815632,33.1266659540725,0,33.1266659540725,33.1266659540725,20.7914434682473,0,20.7914434682473,20.7914434682473,4.90158543671511,0.409006314333118,4.49257912238199,5.31059175104823,0.0148724504459646,0.505862579361006,-0.490990128915042,0.520735029806971,28.2250805173574,0.409006314333118,27.8160742030243,28.6340868316905,20.7765710178014,0.505862579361006,20.2707084384404,21.2824335971624
aet,2064,AR,AR,421.597559697516,560.084759069155,578.55590642631,2.17308262276678,138.487199371639,0,156.958346728794,2.17308262276678,-18.4711473571547,2.17308262276678,138.487199371639,138.487199371639,154.785264106027,159.13142935156,-20.6442299799215,-16.298064734388,514.689276720126,517.131506338205,2.18325724221615,93.0917170226101,0,95.5339466406887,2.18325724221615,-2.44222961807862,2.18325724221615,93.0917170226101,93.0917170226101,93.3506893984725,97.7172038829048,-4.62548686029477,-0.258972375862466,32.8481975728226,0,32.8481975728226,32.8481975728226,22.0807058488196,0,22.0807058488196,22.0807058488196,-4.38122729420143,0.51544003820276,-4.89666733240419,-3.86578725599867,-0.57927982786021,0.517853386955696,-1.09713321481591,-0.0614264409045135,37.229424867024,0.51544003820276,36.7139848288212,37.7448649052268,22.6599856766798,0.517853386955696,22.1421322897241,23.1778390636355
aet,2065,AR,AR,421.597559697516,494.228021701237,504.440219011533,2.64892129990447,72.6304620037201,0,82.8426593140165,2.64892129990447,-10.2121973102964,2.64892129990447,72.6304620037201,72.6304620037201,80.1937380141121,85.491580613921,-12.8611186102009,-7.56327601039193,512.877357433169,513.887600259044,2.26124485461581,91.2797977356524,0,92.2900405615271,2.26124485461581,-1.0102428258747,2.26124485461581,91.2797977356524,91.2797977356524,90.0287957069113,94.5512854161429,-3.2714876804905,1.25100202874111,17.2274389006972,0,17.2274389006972,17.2274389006972,21.6509312343133,0,21.6509312343133,21.6509312343133,-2.42226195939639,0.628305652861225,-3.05056761225761,-1.79395630653516,-0.239622550614267,0.536351504557612,-0.775974055171879,0.296728953943344,19.6497008600936,0.628305652861225,19.0213952072324,20.2780065129548,21.8905537849276,0.536351504557612,21.35420228037,22.4269052894852
aet,2066,AR,AR,421.597559697516,542.751393690855,541.078230948256,2.38041733608737,121.153833993339,0,119.480671250739,2.38041733608737,1.67316274259962,2.38041733608737,121.153833993339,121.153833993339,117.100253914652,121.861088586827,-0.707254593487742,4.05358007868699,517.418782883223,517.522567002718,2.31416682154905,95.8212231857068,0,95.9250073052016,2.31416682154905,-0.103784119494857,2.31416682154905,95.8212231857068,95.8212231857068,93.6108404836526,98.2391741267507,-2.4179509410439,2.21038270205419,28.7368442265802,0,28.7368442265802,28.7368442265802,22.7281256690517,0,22.7281256690517,22.7281256690517,0.396862530181643,0.564618385788392,-0.167755855606749,0.961480915970034,-0.0246168691226104,0.548904225918526,-0.573521095041136,0.524287356795915,28.3399816963986,0.564618385788392,27.7753633106102,28.904600082187,22.7527425381743,0.548904225918526,22.2038383122558,23.3016467640928
aet,2067,AR,AR,421.597559697516,495.04402236035,518.976521596812,2.66611530904927,73.4464626628334,0,97.3789618992955,2.66611530904927,-23.9324992364622,2.66611530904927,73.4464626628334,73.4464626628334,94.7128465902463,100.045077208345,-26.5986145455114,-21.2663839274129,514.181610535356,520.127284645296,2.32324187089151,92.5840508378398,0,98.5297249477792,2.32324187089151,-5.94567410993936,2.32324187089151,92.5840508378398,92.5840508378398,96.2064830768876,100.852966818671,-8.26891598083086,-3.62243223904785,17.4209885644331,0,17.4209885644331,17.4209885644331,21.9602909713866,0,21.9602909713866,21.9602909713866,-5.67662186034308,0.632383951881062,-6.30900581222414,-5.04423790846201,-1.41027242050575,0.551056764312953,-1.96132918481871,-0.859215656192801,23.0976104247762,0.632383951881062,22.4652264728951,23.7299943766572,23.3705633918923,0.551056764312953,22.8195066275794,23.9216201562053
aet,2068,AR,AR,421.597559697516,451.828357132788,465.219188293168,2.58117750658828,30.2307974352721,0,43.6216285956519,2.58117750658828,-13.3908311603799,2.58117750658828,30.2307974352721,30.2307974352721,41.0404510890636,46.2028061022402,-15.9720086669682,-10.8096536537916,512.279644925934,516.097597837216,2.36913233572827,90.6820852284175,0,94.5000381396999,2.36913233572827,-3.81795291128238,2.36913233572827,90.6820852284175,90.6820852284175,92.1309058039716,96.8691704754281,-6.18708524701065,-1.4488205755541,7.17053425474325,0,7.17053425474325,7.17053425474325,21.5091579973753,0,21.5091579973753,21.5091579973753,-3.17621173376511,0.6122372976827,-3.78844903144781,-2.56397443608241,-0.905591795650251,0.561941662429938,-1.46753345808019,-0.343650133220313,10.3467459885084,0.6122372976827,9.73450869082566,10.9589832861911,22.4147497930256,0.561941662429938,21.8528081305956,22.9766914554555
aet,2069,AR,AR,421.597559697516,488.896815281728,535.662933352311,1.49015936434315,67.2992555842113,0,114.065373654794,1.49015936434315,-46.7661180705829,1.49015936434315,67.2992555842113,67.2992555842113,112.575214290451,115.555533019137,-48.2562774349261,-45.2759587062398,512.757290028801,521.093609513965,2.2102654393028,91.1597303312849,0,99.496049816449,2.2102654393028,-8.33631948516416,2.2102654393028,91.1597303312849,91.1597303312849,97.2857843771462,101.706315255752,-10.546584924467,-6.12605404586136,15.9629139296955,0,15.9629139296955,15.9629139296955,21.6224520836148,0,21.6224520836148,21.6224520836148,-11.0925969552898,0.353455405532302,-11.4460523608221,-10.7391415497575,-1.97731682582442,0.524259542889337,-2.50157636871376,-1.45305728293509,27.0555108849854,0.353455405532302,26.7020554794531,27.4089662905177,23.5997689094392,0.524259542889337,23.0755093665499,24.1240284523286
aet,2070,AR,AR,421.597559697516,484.117503049958,491.273796316299,3.27755898212466,62.5199433524418,0,69.676236618783,3.27755898212466,-7.15629326634116,3.27755898212466,62.5199433524418,62.5199433524418,66.3986776366583,72.9537956009076,-10.4338522484658,-3.87873428421649,504.954524747129,517.831825502097,2.31745334577295,83.3569650496128,0,96.2342658045807,2.31745334577295,-12.8773007549679,2.31745334577295,83.3569650496128,83.3569650496128,93.9168124588077,98.5517191503536,-15.1947541007408,-10.5598474091949,14.8292944098865,0,14.8292944098865,14.8292944098865,19.7716905926635,0,19.7716905926635,19.7716905926635,-1.6974228388503,0.777414125564724,-2.47483696441502,-0.920008713285572,-3.05440590410602,0.549683766536897,-3.60408967064292,-2.50472213756913,16.5267172487368,0.777414125564724,15.7493031231721,17.3041313743015,22.8260964967695,0.549683766536897,22.2764127302326,23.3757802633064
