var
rads
relh
prec
RET
prec.max
prec.gt.12
prec.gt.25
prec.gt.50
prec.gt.76
defc
prec.1mo
prec.2mo
prec.3mo
prec.6mo
prec.12mo
relh.6mo
relh.12mo
defc.1mo
defc.2mo
defc.3mo
defc.6mo
defc.12mo
prec.sq
defc.sq
defc.6mo.sq
defc.12mo.sq
