var
rads
prec
prec.max
prec.gt.12
prec.gt.25
defc
prec.1mo
prec.2mo
prec.3mo
prec.6mo
prec.12mo
tmin.12mo
tmax.6mo
tmax.12mo
relh.1mo
relh.3mo
relh.6mo
relh.12mo
rads.1mo
rads.2mo
rads.3mo
rads.6mo
rads.12mo
ea.12mo
es.6mo
es.12mo
VPD.3mo
VPD.6mo
VPD.12mo
RET.3mo
RET.6mo
RET.12mo
defc.1mo
defc.2mo
defc.3mo
defc.6mo
defc.12mo
prec.sq
defc.sq
defc.1mo.sq
defc.2mo.sq
defc.3mo.sq
defc.6mo.sq
defc.12mo.sq
