var
tmin
tmax
relh
VPD
es
ea
RET
prec.12mo
tmin.1mo
tmin.2mo
tmin.3mo
tmin.6mo
tmax.1mo
tmax.2mo
tmax.6mo
ea.1mo
ea.2mo
es.1mo
es.2mo
es.6mo
VPD.1mo
RET.1mo
defc.12mo
