var
prec.days
prec.max
prec.gt.25
prec.gt.50
prec.gt.76
rads
relh
prec
VPD
RET
defc
prec.1mo
prec.2mo
prec.3mo
prec.6mo
prec.12mo
tmax.12mo
relh.1mo
relh.2mo
relh.3mo
rads.1mo
rads.2mo
rads.6mo
rads.12mo
es.12mo
VPD.1mo
VPD.2mo
VPD.3mo
VPD.6mo
VPD.12mo
RET.1mo
RET.6mo
RET.12mo
defc.1mo
defc.2mo
defc.3mo
defc.6mo
defc.12mo
prec.sq
defc.2mo.sq
defc.3mo.sq
