year,met.data,obs,PLS.mean,PLS.sd,change.overall.mean,change.overall.sd,change.climate.mean,change.climate.sd,change.LULC.mean,change.LULC.sd,change.overall.min,change.overall.max,change.climate.min,change.climate.max,change.LULC.min,change.LULC.max
1974,grid,7.12342501016122,5.00763636609325,0.9489394998157,-78.0840104990525,0,-80.1997991431205,0.9489394998157,2.11578864406798,0.9489394998157,-78.0840104990525,-78.0840104990525,-81.1487386429362,-79.2508596433048,1.16684914425228,3.06472814388368
1975,GHCN,124.860145740995,110.340514051278,3.10793312401295,35.9344240175409,0,21.4147923278232,3.10793312401295,14.5196316897177,3.10793312401295,35.9344240175409,35.9344240175409,18.3068592038102,24.5227254518361,11.4116985657048,17.6275648137307
1975,grid,124.860145740995,120.124262211493,4.6186473880683,39.6527102317815,0,34.916826702279,4.6186473880683,4.73588352950256,4.6186473880683,39.6527102317815,39.6527102317815,30.2981793142106,39.5354740903473,0.117236141434253,9.35453091757086
1976,GHCN,98.2722937271373,86.0544230071665,3.93344784554751,9.34657200368298,0,-2.87129871628781,3.93344784554751,12.2178707199708,3.93344784554751,9.34657200368298,9.34657200368298,-6.80474656183533,1.0621491292597,8.28442287442328,16.1513185655183
1976,grid,98.2722937271373,99.3464771610626,5.85918933119053,13.0648582179236,0,14.1390416518488,5.85918933119053,-1.07418343392525,5.85918933119053,13.0648582179236,13.0648582179236,8.27985232065829,19.9982309830393,-6.93337276511578,4.78500589726528
1977,GHCN,58.9452358371881,68.5716433070428,2.49614304409457,-29.9804858862662,0,-20.3540784164115,2.49614304409457,-9.62640746985473,2.49614304409457,-29.9804858862662,-29.9804858862662,-22.8502214605061,-17.8579353723169,-12.1225505139493,-7.13026442576016
1977,grid,58.9452358371881,81.9725261063991,5.63068795841624,-26.2621996720256,0,-3.2349094028146,5.63068795841624,-23.027290269211,5.63068795841624,-26.2621996720256,-26.2621996720256,-8.86559736123084,2.39577855560163,-28.6579782276273,-17.3966023107948
1978,GHCN,101.44188602009,108.797309721481,4.24580997341171,12.5161642966358,0,19.8715879980272,4.24580997341171,-7.35542370139131,4.24580997341171,12.5161642966358,12.5161642966358,15.6257780246154,24.1173979714389,-11.601233674803,-3.1096137279796
1978,grid,101.44188602009,94.5857669297731,5.6054647688527,16.2344505108764,0,9.37833142055932,5.6054647688527,6.85611909031712,5.60546476885271,16.2344505108764,16.2344505108764,3.77286665170662,14.983796189412,1.25065432146441,12.4615838591698
1979,GHCN,67.4015377320147,82.7945848611766,2.75610097088694,-21.5241839914397,0,-6.13113686227777,2.75610097088694,-15.3930471291619,2.75610097088694,-21.5241839914397,-21.5241839914397,-8.88723783316471,-3.37503589139083,-18.1491481000488,-12.6369461582749
1979,grid,67.4015377320147,58.5556112441663,2.72292313755531,-17.8058977771991,0,-26.6518242650475,2.72292313755531,8.84592648784841,2.72292313755531,-17.8058977771991,-17.8058977771991,-29.3747474026028,-23.9289011274922,6.1230033502931,11.5688496254037
1980,GHCN,78.2089017167631,81.3330263401341,2.7485203879401,-10.7168200066912,0,-7.59269538332024,2.7485203879401,-3.12412462337095,2.7485203879401,-10.7168200066912,-10.7168200066912,-10.3412157712603,-4.84417499538014,-5.87264501131106,-0.375604235430849
1980,grid,78.2089017167631,71.4651732645043,6.02753974897314,-6.9985337924506,0,-13.7422622447094,6.02753974897313,6.7437284522588,6.02753974897313,-6.9985337924506,-6.9985337924506,-19.7698019936825,-7.71472249573627,0.716188703285666,12.7712682012319
1981,GHCN,70.6811891536184,70.3029097382412,2.45757435583679,-18.2445325698359,0,-18.6228119852131,2.45757435583679,0.378279415377219,2.45757435583679,-18.2445325698359,-18.2445325698359,-21.0803863410499,-16.1652376293763,-2.07929494045957,2.83585377121401
1981,grid,70.6811891536184,73.2344443418661,3.70893922978909,-14.5262463555953,0,-11.9729911673476,3.70893922978909,-2.55325518824766,3.70893922978909,-14.5262463555953,-14.5262463555953,-15.6819303971367,-8.26405193755853,-6.26219441803676,1.15568404154143
1982,GHCN,78.3565689898775,67.7924011002893,2.15126945101959,-10.5691527335768,0,-21.1333206231651,2.15126945101959,10.5641678895883,2.15126945101959,-10.5691527335768,-10.5691527335768,-23.2845900741847,-18.9820511721455,8.41289843856869,12.7154373406079
1982,grid,78.3565689898775,81.3382782491124,3.05108893410106,-6.85086651933621,0,-3.86915726010131,3.05108893410106,-2.9817092592349,3.05108893410106,-6.85086651933621,-6.85086651933621,-6.92024619420237,-0.818068326000251,-6.03279819333596,0.0693796748661621
1983,GHCN,55.9570475351773,79.0720003153178,3.82565436951309,-32.9686741882771,0,-9.8537214081365,3.82565436951309,-23.1149527801406,3.82565436951309,-32.9686741882771,-32.9686741882771,-13.6793757776496,-6.02806703862341,-26.9406071496537,-19.2892984106275
1983,grid,55.9570475351773,72.8271392944882,3.05158754532857,-29.2503879740365,0,-12.3802962147255,3.05158754532857,-16.8700917593109,3.05158754532857,-29.2503879740365,-29.2503879740365,-15.4318837600541,-9.32870866939697,-19.9216793046395,-13.8185042139824
1984,GHCN,90.4962567983432,95.506682714316,2.36104659839871,1.57053507488889,0,6.58096099086165,2.36104659839871,-5.01042591597275,2.36104659839871,1.57053507488889,1.57053507488889,4.21991439246293,8.94200758926036,-7.37147251437147,-2.64937931757404
1984,grid,90.4962567983432,84.2746293283694,3.42325357822805,5.28882128912949,0,-0.932806180844295,3.42325357822805,6.22162746997378,3.42325357822805,5.28882128912949,5.28882128912949,-4.35605975907235,2.49044739738376,2.79837389174573,9.64488104820183
1985,GHCN,129.244259875743,113.129401069004,3.24036588095079,40.3185381522883,0,24.2036793455501,3.24036588095079,16.1148588067382,3.24036588095079,40.3185381522883,40.3185381522883,20.9633134645993,27.4440452265009,12.8744929257874,19.355224687689
1985,grid,129.244259875743,117.224593494668,5.31472595166082,44.0368243665289,0,32.0171579854548,5.31472595166082,12.0196663810742,5.31472595166082,44.0368243665289,44.0368243665289,26.7024320337939,37.3318839371156,6.70494042941337,17.334392332735
1986,GHCN,106.613558944781,100.68234105615,3.27345996394217,17.6878372213267,0,11.7566193326953,3.27345996394217,5.9312178886314,3.27345996394217,17.6878372213267,17.6878372213267,8.48315936875311,15.0300792966374,2.65775792468923,9.20467785257357
1986,grid,106.613558944781,103.304539827094,3.7677346959169,21.4061234355673,0,18.0971043178802,3.7677346959169,3.3090191176871,3.7677346959169,21.4061234355673,21.4061234355673,14.3293696219633,21.8648390137971,-0.458715578229803,7.076753813604
1987,GHCN,58.419827936594,59.9749525873211,2.73126130868123,-30.5058937868604,0,-28.9507691361332,2.73126130868123,-1.55512465072714,2.73126130868123,-30.5058937868604,-30.5058937868604,-31.6820304448145,-26.219507827452,-4.28638595940837,1.17613665795409
1987,grid,58.419827936594,71.4508508021698,3.03215931035182,-26.7876075726198,0,-13.756584707044,3.03215931035182,-13.0310228655758,3.03215931035182,-26.7876075726198,-26.7876075726198,-16.7887440173958,-10.7244253966921,-16.0631821759276,-9.99886355522398
1988,GHCN,51.4955048677106,40.875999318579,2.86197618246214,-37.4302168557438,0,-48.0497224048753,2.86197618246214,10.6195055491316,2.86197618246214,-37.4302168557438,-37.4302168557438,-50.9116985873375,-45.1877462224132,7.75752936666942,13.4814817315937
1988,grid,51.4955048677106,55.462042233249,4.707327333506,-33.7119306415032,0,-29.7453932759647,4.707327333506,-3.96653736553848,4.707327333506,-33.7119306415032,-33.7119306415032,-34.4527206094707,-25.0380659424587,-8.67386469904448,0.740789967967513
1989,GHCN,69.7835712350243,51.8705333376972,3.15890340371146,-19.1421504884301,0,-37.0551883857571,3.15890340371146,17.9130378973271,3.15890340371146,-19.1421504884301,-19.1421504884301,-40.2140917894686,-33.8962849820457,14.7541344936156,21.0719413010385
1989,grid,69.7835712350243,58.3612570194575,4.0835154905837,-15.4238642741895,0,-26.8461784897562,4.0835154905837,11.4223142155667,4.0835154905837,-15.4238642741895,-15.4238642741895,-30.9296939803399,-22.7626629991725,7.33879872498303,15.5058297061504
