"year","month","year.met","tmin","tmax","rads","relh","prec","wspd","es","ea","VPD","RET","prec.days","prec.max","prec.gt.12","prec.gt.25","prec.gt.50","prec.gt.76","prec.gt.101","aet","srunoff","drainage"
1999,12,1999,-7.48387096774194,1.20322580491343,87.9870955559515,82.6330317835654,21.8999997377396,3.13548387635139,0.565015931110212,0.337586944261656,0.227428986848556,12.8767364648321,9,7.09999990463257,0,0,0,0,0,0.00603340270160632,0.0200711701399715,1.09718799358829
2000,1,2000,-10.5741935083943,-2.17096772886092,137.488060858942,77.984741457047,23.1999999284744,3.63870969030165,0.431335791740013,0.242710090094034,0.188625701645979,13.5568786949896,15,6.09999990463257,0,0,0,0,0,0.0364497483170386,0.0131918641165057,1.02036702221562
2000,2,2000,-6.32758620689655,3.59999996218188,112.284827133705,81.0017242431641,49.5999993085861,3.81724136451195,0.65082105179991,0.353427568853083,0.297393482946827,22.9701782582236,11,11.3999996185303,0,0,0,0,0,0.0311378911075777,0.07878083556272,0.931378092531395
2000,3,2000,-1.47096775808642,11.0612903448843,149.143870938209,74.6360965851814,29.8000001311302,3.20645159290683,1.00690660932082,0.441232348331195,0.565674260989625,49.401602085554,11,5.59999990463257,0,0,0,0,0,0.267507378979223,0.0305803413125309,0.896172941630009
2000,4,2000,1.20666667620341,13.4833332538605,193.413332748413,67.3153335571289,80.8999997377396,4.11666665474574,1.16129752472544,0.462517906759629,0.698779617965809,74.9003720482382,8,24.8999996185303,3,0,0,0,0,0.83387661093134,0.156983221489145,0.818154720014184
2000,5,2000,9.26129040794988,20.8612903779553,192.78774064587,73.8174198519799,244.599999666214,3.548387091006,1.88248979948374,0.908045557382488,0.974444242101252,95.729018804135,14,65.5,4,3,3,0,0,1.50473873374775,2.06701536931126,0.856313955297686
2000,6,2000,13.8366666634878,23.6399999936422,246.943333053589,76.0560002644857,219.300003349781,3.45666663249334,2.30842895223532,1.23245882998532,1.07597012225,119.694524962624,14,87.9000015258789,4,2,2,1,0,2.6730882153778,2.52730531144787,1.14216666565093
2000,7,2000,15.4451614195301,26.1290323811193,251.480644964403,78.6032257080078,82.8999994397163,2.85161287938395,2.59753070719445,1.40786484502246,1.18966586217199,125.866079336652,8,48,2,1,0,0,0,3.31486056831353,0.250382997642153,0.973700069250632
2000,8,2000,15.4903227590745,26.4967739351334,212.490644762593,82.3387096774194,100.199999988079,2.7161290241826,2.64308249026941,1.47286874019335,1.17021375007607,105.687095451838,8,42.7000007629395,4,1,0,0,0,2.86687180687562,0.189394530721555,0.793940415990658
2000,9,2000,10.349999944369,21.9599997838338,167.73066628774,76.9590002695719,91.2000007033348,3.50333330631256,2.05291381763032,1.04425228686202,1.0086615307683,77.1667851233207,9,43.4000015258789,2,1,0,0,0,2.00021458707721,0.194971828638759,0.786413609435868
2000,10,2000,5.10000000076909,17.6870967957281,115.329999739124,73.2751616201093,17.3000006079674,2.86129029912333,1.52843200311618,0.707188106929994,0.821243896186182,51.4631194628078,6,5.80000019073486,0,0,0,0,0,0.887902825725585,0.0164926660662467,0.928698213932798
2000,11,2000,-1.78000000317891,5.01666664282481,64.1419999440511,80.9540002187093,51.0000013113022,3.61666666666667,0.771727261796681,0.459434410407252,0.312292851389429,22.8706750673464,15,27.2000007629395,1,1,0,0,0,0.167103520558579,0.0657463033924519,0.980406849846164
2000,12,2000,-16.674193597609,-6.49677420816114,78.4703220859651,81.1391938732516,35.299999833107,3.21290323811193,0.290345003966329,0.15176089488554,0.13858410908079,8.47045852057815,16,6.59999990463257,0,0,0,0,0,0.0634926209984973,0.00125555983071128,1.03347409719732
2001,1,2001,-10.1129032681065,-1.39677418431928,74.9861290839411,84.7000001476657,8.72869315650263,2.84516131108807,0.442373931842784,0.274990134923426,0.167383796919357,10.7778390940268,7,4.23047126385607,0,0,0,0,0,0.0324499299944132,0.0243806120522435,1.04620028832841
2001,2,2001,-10.9249999863761,-2.6928571505206,107.010714530945,78.6942853927612,34.9933321016765,3.40714283926146,0.408097468584235,0.239665561314629,0.168431907269606,15.6510496743907,9,13.3878254665128,1,0,0,0,0,0.156805280718276,0.0554167561882093,1.00004995611414
2001,3,2001,-4.75161286323301,4.32903220192079,165.609354942076,75.7090323663527,20.3080988156142,3.47419352300705,0.651942781794907,0.337177216736535,0.314765565058372,38.0293611520282,6,7.05117059236782,0,0,0,0,0,0.0518489841859011,0.0942321945427698,0.956938538419867
2001,4,2001,4.37333333492279,16.7566667000453,193.536999384562,68.0126672108968,113.719439961683,4.46666663885117,1.44903611117482,0.59106999269951,0.85796611847531,85.682427431199,14,27.9935959509736,4,1,0,0,0,0.935476143848021,0.24090691368207,0.934450163315392
2001,5,2001,8.93870970510667,20.3967741689374,211.548387835103,73.1464513963269,157.697726743064,3.41612901226167,1.83913623003593,0.858702131249327,0.980434098786605,101.631972497776,21,35.626643189124,4,3,0,0,0,1.73245501652015,0.396544605018895,0.992841857467494
2001,6,2001,13.2133334000905,24.5733333269755,235.388999684652,76.3216664632161,117.573655127501,2.87333331108093,2.40267272065692,1.18034080713059,1.22233191352633,117.628319392554,15,28.5644657922228,4,2,0,0,0,2.30389996543239,0.235714228147763,1.02584918686207
2001,7,2001,16.0064515298413,28.7870968849428,270.003226003339,74.6096772224672,44.9407777322638,2.59999999884636,2.95393610310173,1.44455235643419,1.50938374666755,141.920544192094,14,23.8164301056526,1,0,0,0,0,3.55046578919565,0.0474681654624986,0.869511543153355
2001,8,2001,16.2290321165516,26.9161291430073,200.940320784046,74.9941609905612,133.1440076679,2.53225806836159,2.75710391699576,1.45343789358934,1.30366602340641,110.344003165584,18,25.0800530333413,3,0,0,0,0,3.14902764996046,0.177882640439168,0.744982424076923
2001,9,2001,9.03999996185303,20.613333384196,187.594665781657,80.1118666330973,119.665429434532,2.74333331982295,1.85144963127878,0.966523400358556,0.884926230920226,73.0580242412989,15,43.424685640988,3,1,0,0,0,2.07420261704784,0.276030158501794,0.780737025536953
2001,10,2001,4.49999997692723,14.2870968311064,107.663871395972,73.4686769054782,95.637433952135,3.57096774155094,1.2927430761328,0.652482371030935,0.640260705101863,48.6473404027687,17,36.863785906491,3,1,0,0,0,1.00251747198892,0.20586361919447,0.957753705244213
2001,11,2001,2.54333330790202,13.056666580836,86.5926664352417,75.4934331258138,44.3222634834294,3.43666665752729,1.1638860013544,0.586990055450265,0.576895945904132,32.1712400677292,15,18.759271927027,1,0,0,0,0,0.473419362082214,0.0531163894675643,1.07434552075866
2001,12,2001,-4.82258066054313,3.09032253296145,78.6580649191333,78.538387298584,30.8751623088767,3.44838708831418,0.660717560694585,0.381001427873538,0.279716132821047,16.0641247026601,9,7.86389672077955,0,0,0,0,0,0.0171264902300662,0.028330459135394,1.13318068521191
2002,1,2002,-6.09677422815754,1.8516129332204,99.4877415011006,75.9398710189327,27.169804265911,3.40645161367232,0.580434270848118,0.313855676644312,0.266578594203806,19.4634431943714,7,9.89380953741855,0,0,0,0,0,0.0228883824787646,0.0173793147528422,1.08717490243636
2002,2,2002,-5.55357139876911,3.85000001106943,135.271425519671,75.8653932298933,60.8544084589851,4.07857143027442,0.636780056430587,0.326911971703279,0.309868084727308,25.9117925182028,10,29.7400684393475,2,1,0,0,0,0.0273432822441359,0.1225201737524,1.05417521643132
