var
prec.days
prec.gt.12
tmin
tmax
prec
es
ea
defc
prec.1mo
prec.2mo
prec.3mo
tmin.1mo
tmin.2mo
tmin.3mo
relh.1mo
relh.2mo
relh.3mo
relh.6mo
relh.12mo
rads.2mo
rads.3mo
ea.1mo
ea.2mo
ea.3mo
VPD.6mo
VPD.12mo
RET.6mo
RET.12mo
defc.1mo
defc.2mo
defc.3mo
prec.sq
defc.sq
defc.1mo.sq
defc.2mo.sq
defc.12mo.sq
