var
prec.days
prec.max
prec.gt.12
tmax
rads
relh
prec
VPD
es
RET
defc
prec.1mo
prec.2mo
prec.3mo
prec.6mo
prec.12mo
tmax.2mo
tmax.3mo
relh.1mo
relh.2mo
relh.3mo
relh.6mo
relh.12mo
rads.1mo
rads.2mo
rads.3mo
VPD.1mo
VPD.2mo
VPD.3mo
RET.1mo
RET.2mo
RET.3mo
defc.1mo
defc.2mo
defc.3mo
defc.6mo
defc.12mo
prec.sq
defc.sq
defc.1mo.sq
defc.2mo.sq
defc.12mo.sq
