var
tmin
rads
relh
prec
ea
VPD
RET
prec.max
prec.gt.12
prec.gt.25
prec.gt.50
defc
prec.1mo
prec.2mo
prec.3mo
tmax.1mo
tmax.2mo
tmax.3mo
relh.1mo
relh.2mo
es.1mo
es.2mo
es.3mo
VPD.1mo
VPD.2mo
VPD.3mo
RET.1mo
RET.2mo
defc.1mo
defc.2mo
defc.3mo
prec.sq
defc.sq
