"year","month","prec.days","prec.max","prec.gt.12","prec.gt.25","prec.gt.50","prec.gt.76","tmin","tmax","rads","relh","prec","wspd","VPD","es","ea","RET"
1945,1,7,4.3,0,0,0,0,-11.7774193548387,-4.50967741935484,46.1262594950648,72.6885887873407,8,3.94368593548387,0.0921487095066084,0.37257551311537,0.280426803608761,17.4683477594502
1945,2,9,18.5,1,0,0,0,-7.88928571428571,-0.196428571428571,77.4127634353558,71.9950232123452,35.6,3.96648214285714,0.132786006321756,0.501604374272779,0.368818367951023,23.5284395222489
1945,3,10,9.7,0,0,0,0,1.25161290322581,12.4129032258065,147.596908262851,64.168063909872,35.8,4.19816525806452,0.443595419356323,1.14850609560009,0.704910676243766,75.4504091599694
1945,4,13,21.6,2,0,0,0,2.90333333333333,13.0366666666667,185.241280605419,67.5785533817971,73.5,4.4629959,0.429901450829126,1.21153882088017,0.781637370051047,82.666497682809
1945,5,17,37.3,3,1,0,0,5.29677419354839,14.8193548387097,229.853439602696,69.9633678681528,133.9,3.84463412903226,0.445616227769519,1.35988338630009,0.914267158530575,98.3336942171264
1945,6,10,25.1,1,0,0,0,10.9933333333333,20.82,244.76900474698,69.9109062354539,71.3,3.34832058709677,0.633836821706718,2.00078608914313,1.36694926743641,121.27984273124
1945,7,10,21.6,3,0,0,0,14.4387096774194,25.3387096774194,249.1164900223,67.7373995640388,67.4,3.01887193548387,0.823095154786447,2.50992585147759,1.68683069669114,140.074105818877
1945,8,10,19.8,5,0,0,0,15.6129032258065,25.9774193548387,212.134291658749,69.4018256382104,103.4,2.87700883870968,0.819007990506772,2.61789085344419,1.79888286293742,125.587249460772
1945,9,11,46.2,6,3,0,0,12.22,20.9633333333333,141.459590391686,73.3062431857625,159.4,3.161411,0.593414757289756,2.06718958790284,1.47377483061309,83.5392137130656
1945,10,7,9.4,0,0,0,0,4.0741935483871,14.6,102.857853275638,66.4945098088575,19.9,3.597275,0.452424597952176,1.2951669766281,0.84274237867592,63.5151747897797
1945,11,12,18.3,2,0,0,0,-1.12333333333333,7.03666666666667,53.6787326027066,72.5178373324925,59.6,4.02529627204301,0.259199938611287,0.851986048207949,0.592786109596662,36.3513704589051
1945,12,10,9.7,0,0,0,0,-10.2677419354839,-2.4741935483871,42.6563550271542,71.1211362150124,37.5,3.83260190322581,0.121115851608486,0.44002407375967,0.318908222151184,19.9890528621075
1946,1,10,16.8,1,0,0,0,-9.34193548387097,-0.825806451612903,52.8761893659058,69.0537822534964,50.1,3.94368593548387,0.138001980334171,0.474960015725875,0.336958035391704,23.7252765421038
1946,2,9,6.9,0,0,0,0,-8.88571428571429,0.121428571428571,80.1711364733922,67.7019021777487,22.4,3.96648214285714,0.158041132143719,0.494013344047082,0.335972211903363,26.5637657855199
1946,3,15,21.3,1,0,0,0,0.474193548387097,10.1612903225806,131.774504448983,68.2984442998513,73.2,4.19816525806452,0.341896766699431,1.00370287184501,0.661806105145582,61.5135844345923
1946,4,9,7.4,0,0,0,0,2.60666666666667,14.2233333333333,199.589873704437,63.6778287639212,24,4.4629959,0.509261994488461,1.2680349824431,0.758772987954635,92.9788587453856
1946,5,8,24.1,1,0,0,0,6.14838709677419,16.7354838709677,230.035395918948,67.0587865533753,54.4,3.84463412903226,0.52457501456441,1.48454428249049,0.959969267926077,107.210146765517
1946,6,11,19.3,3,0,0,0,12.3266666666667,23.3166666666667,251.168590373386,67.2297842204227,71.4,3.34832058709677,0.792713649889178,2.28908510376324,1.49637145387406,136.135499583506
1946,7,5,10.4,0,0,0,0,15.9645161290323,27.0612903225806,256.978009298332,67.5177961002887,24.1,3.01887193548387,0.908339443048446,2.74880150762298,1.84046206457453,150.648739222613
1946,8,8,17,1,0,0,0,14.3709677419355,25.3806451612903,222.383398978246,67.2981476029644,41.6,2.87700883870968,0.821522484273262,2.49244712395786,1.6709246396846,127.65046809718
1946,9,10,13,1,0,0,0,10.8366666666667,22.14,154.565330420112,65.9199205651647,32.7,3.161411,0.720289717592461,2.0558427180378,1.33555300044534,94.6454590836084
1946,10,8,19.3,1,0,0,0,6.91935483870968,18.7161290322581,111.332044172129,63.9172505654083,45.4,3.597275,0.62155799535789,1.65331774704402,1.03175975168613,77.987810699446
1946,11,11,22.9,1,0,0,0,-0.74,8.51666666666667,53.6788660745014,68.9128966701072,52.9,4.02529627204301,0.271106720799762,0.881297718035601,0.610190997235839,38.9824997736239
1946,12,7,20.1,1,0,0,0,-7.13225806451613,2.54516129032258,48.9316075188588,66.1353732041281,39.2,3.83260190322581,0.214981049264599,0.623859591908394,0.408878542643795,30.4224080077773
1947,1,11,18.8,2,0,0,0,-7.57741935483871,0.503225806451613,48.5603465000668,70.7763762936933,57.4,3.94368593548387,0.148665116649583,0.525696682616799,0.377031565967216,25.0146848416559
1947,2,8,2,0,0,0,0,-12.0571428571429,-3.99285714285714,79.0281549421096,70.1775626979306,7.5,3.96648214285714,0.110085106641274,0.378153619090064,0.26806851244879,20.1578321796539
1947,3,10,15.2,2,0,0,0,-4.73548387096774,2.58387096774194,125.018504625922,73.869578404027,44,4.19816525806452,0.159633974592791,0.603825927147797,0.444191952555006,37.3631812132675
1947,4,15,26.9,3,1,0,0,1.72,10.3533333333333,176.010513588464,71.8142333310769,93.5,4.4629959,0.319116387386067,1.02144510938812,0.702328722002053,68.7578730026258
1947,5,18,15.2,4,0,0,0,5.03548387096774,14.841935483871,219.818651963413,68.9127967158733,110.6,3.84463412903226,0.447812367470664,1.34389211346578,0.896079745995117,96.8699352536739
1947,6,14,29.5,3,1,0,0,10.9366666666667,21.1166666666667,258.206155778389,68.9905267932391,101.3,3.34832058709677,0.651262740293428,2.00929007004916,1.35802732975573,125.64930982386
1947,7,8,22.9,1,0,0,0,15.3870967741935,25.5,246.01096399223,69.9259099009235,55.2,3.01887193548387,0.786475064877797,2.57056208227281,1.78408701739501,138.719524921711
1947,8,6,26.4,1,1,0,0,19.0870967741935,29.5193548387097,206.295247830237,70.1038253428504,40.2,2.87700883870968,1.02035770160753,3.27632359141333,2.2559658898058,137.403433465524
1947,9,6,68.8,3,3,1,0,12.5566666666667,22.8866666666667,149.747684169273,68.8366372118133,153.1,3.161411,0.718080987572475,2.30255446005902,1.58447347248654,93.4251020959932
1947,10,6,20.3,2,0,0,0,9.93225806451613,20.558064516129,103.151074300253,67.906601736378,47,3.597275,0.656816261653182,1.90963955667714,1.25282329502396,78.7075587912003
1947,11,15,24.1,1,0,0,0,-2.59,3.35666666666667,38.9249764720539,78.6321974330224,71.7,4.02529627204301,0.132588926555046,0.709794519050591,0.577205592495545,22.7612350150788
1947,12,7,15,1,0,0,0,-6.52258064516129,0.838709677419355,37.0205629976015,73.3167857644423,43.7,3.83260190322581,0.137869074394422,0.526373585442631,0.388504511048209,22.7920593606635
1948,1,7,6.6,0,0,0,0,-16.2,-4.67741935483871,63.5012256833473,57.4225635798539,12.6,3.94368593548387,0.134115294935758,0.331858431944294,0.197743137008535,23.0652680755202
1948,2,7,40.9,1,1,0,0,-12.7310344827586,-1.16551724137931,93.2726153072727,58.8221758677148,54.1,3.98207624137931,0.163673693634622,0.444798127074842,0.281124433440221,28.6348215004813
1948,3,9,22.9,3,0,0,0,-7.07741935483871,5.16451612903226,151.880055840405,58.9606629900212,72.5,4.19834551612903,0.311795785396248,0.721889230587356,0.410093445191108,58.47074033683
1948,4,9,16.8,3,0,0,0,3.90666666666667,17.11,215.996748881961,58.8864193793297,75.4,4.45368256666667,0.594646185200841,1.46282866520586,0.868182480005017,106.765261044184
1948,5,11,20.6,1,0,0,0,6.30967741935484,19.4935483870968,239.84784103026,60.3185845712552,73.6,3.81795593548387,0.713720861525511,1.68805143565581,0.974330574130303,127.158690725924
1948,6,17,30.2,1,1,0,0,12.41,26.2866666666667,264.460956942005,59.8408027837971,64.9,3.34301198709677,1.02378211026625,2.49970276591154,1.47592065564529,155.361124841251
1948,7,7,22.6,3,0,0,0,16.2483870967742,30.1741935483871,271.154095258038,60.5562651223459,64.7,3.00575816129032,1.24594898298464,3.12873195061323,1.88278296762859,174.850665358029
1948,8,6,7.9,0,0,0,0,15.4,29.4322580645161,222.195043751239,59.9068576458812,17.9,2.87056461290323,1.19542272790619,3.0082793788324,1.81285665092621,149.441239299718
1948,9,10,10.7,0,0,0,0,11.4233333333333,25.9766666666667,169.517557817309,57.9823946929298,47.5,3.19405423333333,1.04721937779987,2.4573119922729,1.41009261447303,118.676047750455
1948,10,6,22.9,1,0,0,0,2.2741935483871,15.7645161290323,108.873774421953,58.1344363952787,32.9,3.60570206451613,0.55166674294573,1.29947170402146,0.747804961075731,73.8116478008592
