"year","month","prec.days","prec.max","prec.gt.12","prec.gt.25","prec.gt.50","prec.gt.76","tmin","tmax","rads","relh","prec","wspd","VPD","es","ea","RET"
1962,6,7,14,1,0,0,0,12.05,26.5166666666667,287.458234512682,58.0756235205669,37.3,3.34832058709677,1.06041740147144,2.50321751321469,1.44280011174325,163.376018690698
1962,7,8,43.2,1,1,0,0,13.4516129032258,26.6258064516129,254.480359043745,61.7623772998421,73.5,3.01887193548387,0.990152492193431,2.56313943951652,1.57298694732309,151.28745449111
1962,8,4,32.8,1,1,0,0,13.1677419354839,27.5322580645161,227.512556069934,58.6027178695656,48.2,2.87700883870968,1.08627577376299,2.6406392273215,1.55436345355851,144.202075815672
1962,9,11,12.2,0,0,0,0,6.75666666666667,21.1666666666667,178.165055798329,56.7987361295063,47.3,3.161411,0.780947558656616,1.82843841743873,1.04749085878211,101.975528730336
1962,10,10,13.2,1,0,0,0,4.99032258064516,16.9387096774194,88.3476491328818,62.9114403432153,45.2,3.597275,0.560612373517569,1.51598058273963,0.955368209222066,69.9060783999849
1962,11,7,3.8,0,0,0,0,-2.72,7.27666666666667,41.5038977849821,66.2614161532163,10.3,4.02529627204301,0.271516390791039,0.780384954810335,0.508868564019296,39.128172738981
1962,12,7,11.7,0,0,0,0,-11.2612903225806,-1,31.0599864636103,63.3880132802558,20,3.83260190322581,0.178471944509105,0.489875019148148,0.311403074639043,27.3980018593487
1963,1,5,6.4,0,0,0,0,-18.2838709677419,-9.9258064516129,34.1444226459974,67.0479511624728,12,3.94368593548387,0.0670481651641584,0.26466029801342,0.197612132849262,13.6436230751701
1963,2,11,6.6,0,0,0,0,-15.375,-4.11071428571429,85.5694814103318,58.7076048126322,14.5,3.96648214285714,0.139088442744316,0.342987948867284,0.203899506122967,24.0030654923172
1963,3,15,15.7,1,0,0,0,-4.98709677419355,6.41935483870968,139.213171406636,61.9739966748559,59,4.19816525806452,0.314107835296545,0.780411739978838,0.466303904682293,58.3601105090132
1963,4,12,13.7,1,0,0,0,2.14333333333333,16.4766666666667,214.023189386906,55.6292628305353,56,4.4629959,0.612422068338072,1.36050845966138,0.748086391323303,107.532141969955
1963,5,11,41.4,2,1,0,0,6.2741935483871,19.741935483871,266.326065251043,58.9136149944894,83.1,3.84463412903226,0.695211060301825,1.68978024007837,0.994569179776542,130.820901698383
1963,6,10,18.8,4,0,0,0,13.1366666666667,27.78,296.832806328258,57.7545269138361,110.9,3.34832058709677,1.12175297311701,2.69119164086749,1.56943866775048,171.014218335185
1963,7,6,29,3,1,0,0,14.8258064516129,29.2322580645161,281.568410040098,58.8335074975555,77.1,3.01887193548387,1.20324789817209,2.92252498199072,1.71927708381863,175.090222616553
1963,8,8,36.8,3,2,0,0,12.5483870967742,26.6129032258065,233.041717585718,59.0239594015967,93.5,2.87700883870968,1.02645032698482,2.51712658333635,1.49067625635154,142.397596484659
1963,9,7,14.5,1,0,0,0,8.31333333333333,23.35,165.462804449427,55.5773162814314,29.5,3.161411,0.904081078223164,2.04249559921294,1.13841452098977,109.70736231985
1963,10,6,2.3,0,0,0,0,7.58064516129032,22.0838709677419,99.3365211468444,57.006081999463,10.4,3.597275,0.841039794955404,1.92352899471341,1.08248919975801,94.5392052411968
1963,11,6,15.2,1,0,0,0,-1.13666666666667,9.5,45.8305931036196,64.8417498791944,48.4,4.02529627204301,0.329380406411179,0.914984571983589,0.58560416557241,45.3990625316622
1963,12,6,3.3,0,0,0,0,-16.2741935483871,-7.21290322580645,30.4370273572526,65.248392595663,11.2,3.83260190322581,0.0991818177866365,0.301368685070055,0.202186867283419,17.4992871891356
1964,1,5,15.2,1,0,0,0,-10.041935483871,-0.790322580645161,37.9318782392816,66.5043395164527,16.6,3.94368593548387,0.153668722351788,0.468223809805986,0.314555087454198,26.0152917791878
1964,2,4,5.1,0,0,0,0,-10.4448275862069,0.579310344827586,85.0359315410443,60.9581850375136,6.2,3.98207624137931,0.182668873580692,0.474835510761408,0.292166637180716,31.314590712557
1964,3,9,4.6,0,0,0,0,-6.59354838709677,3.04516129032258,131.058873955375,66.2035417753195,23.7,4.19834551612903,0.21009683393935,0.601255137835898,0.391158303896548,43.5004216794472
1964,4,12,17.3,3,0,0,0,1.69333333333333,12.94,200.239624469132,63.9798899983283,79.6,4.45368256666667,0.430190217952541,1.16133367773848,0.731143459785942,84.0673298638888
1964,5,13,17.5,4,0,0,0,9.66129032258065,22.6225806451613,261.744257019008,61.2075972176676,94.5,3.81795593548387,0.785237691960932,2.03669884527827,1.25146115331734,140.384818578934
1964,6,8,77.5,2,1,1,1,12.5166666666667,26.4233333333333,297.665784525749,59.4765863036057,118.5,3.34301198709677,1.02151127180738,2.54950832738334,1.52799705557596,162.906157798764
1964,7,12,29.7,3,2,0,0,15.1806451612903,28.7709677419355,280.355289641634,60.9125572186491,96.4,3.00575816129032,1.15147904915584,2.91236654078844,1.7608874916326,171.381179641633
1964,8,7,33,1,1,0,0,12.0096774193548,25.6193548387097,232.379504677181,59.9511953017405,49.6,2.87056461290323,0.956262640743059,2.42369480861942,1.46743216787636,136.69861296468
1964,9,16,20.8,1,0,0,0,8.50333333333333,21.03,157.460119701516,61.8116336456811,71.4,3.19405423333333,0.702862153844878,1.89437715557987,1.191515001735,93.5160860798284
1964,10,3,1.5,0,0,0,0,0.141935483870968,15.6645161290323,101.353386071555,52.0984986944067,3.1,3.60570206451613,0.616214893878882,1.25846054760277,0.642245653723887,80.2281255789596
1964,11,9,9.7,0,0,0,0,-2.68666666666667,9.58666666666667,52.0306055058126,59.6388612118037,27.3,4.03828837204301,0.407449321764129,0.985494049222035,0.578044727457906,51.8861029503572
1964,12,9,2,0,0,0,0,-12.4096774193548,-3.04838709677419,28.3552742855872,65.5078226288108,7.6,3.81718983870968,0.122750050470898,0.383695147381178,0.26094509691028,21.5712514433155
1965,1,10,33,1,1,0,0,-15.0967741935484,-4.25806451612903,45.5689858892826,60.0257702184326,49,3.94368593548387,0.129412016742659,0.358527182561622,0.229115165818963,22.9589279387957
1965,2,7,7.1,0,0,0,0,-13.5178571428571,-2.86428571428571,82.2754530254927,61.3615490470016,16.8,3.96648214285714,0.151054222987169,0.406044405742645,0.254990182755476,25.706197287954
1965,3,11,9.9,0,0,0,0,-8.61290322580645,-0.390322580645161,124.420742178713,69.9125207195541,39.5,4.19816525806452,0.132122242352538,0.482736572426787,0.35061433007425,31.5999943991346
1965,4,16,21.6,2,0,0,0,1.03666666666667,11.9466666666667,195.665997055998,64.9773147962745,79.4,4.4629959,0.406246200277937,1.07458409749442,0.668337897216479,81.8082802106195
1965,5,12,20.1,1,0,0,0,9.37096774193548,23.2903225806452,263.250668465455,58.8849245591575,59.5,3.84463412903226,0.871437060253056,2.1093173329272,1.23788027267414,146.961908530703
1965,6,7,29.5,2,1,0,0,11.04,25.7166666666667,295.071527667867,57.1222639057983,75.7,3.34832058709677,1.00565048780013,2.35373834294849,1.34808785514836,161.688693627443
1965,7,8,19.1,3,0,0,0,13.8935483870968,27.8806451612903,282.64946198316,59.5511201541018,75.3,3.01887193548387,1.09943055691774,2.73030897525435,1.63087841833661,167.56726907185
1965,8,18,19.1,4,0,0,0,12.8870967741935,25.8548387096774,228.434825450307,62.0033084024063,113.9,2.87700883870968,0.957517853244076,2.49308732904435,1.53556947580027,135.910304606037
1965,9,19,80,10,6,2,1,9.66666666666667,20.3133333333333,146.526509907796,67.4027015899165,365.4,3.161411,0.604977637360809,1.86594775426792,1.26097011690711,84.3536270854294
1965,10,9,33,2,2,0,0,3.93548387096774,15.5387096774194,97.151458346328,63.1579909487667,76.9,3.597275,0.489923275250114,1.34311010540883,0.853186830158714,66.5157109835437
1965,11,8,16.5,2,0,0,0,-2.43666666666667,7.64666666666667,44.675464844747,66.3268823465479,43.6,4.02529627204301,0.297334554771633,0.833801524026691,0.536466969255058,41.7343552137832
1965,12,9,25.1,3,0,0,0,-5.02258064516129,2.78387096774194,24.846668612215,72.4037600730626,64.7,3.83260190322581,0.172144632210154,0.613741378147427,0.441596745937273,27.2862071295675
1966,1,6,14.5,1,0,0,0,-17.5322580645161,-7.00967741935484,44.4837198931676,60.3280693280851,24.5,3.94368593548387,0.114130867281516,0.296453832798315,0.182322965516799,20.151985166104
1966,2,5,22.4,1,0,0,0,-10.5714285714286,-1.15357142857143,75.6456123537685,65.546583650975,31.3,3.96648214285714,0.146792822967492,0.462903286385548,0.316110463418055,25.021119175616
1966,3,14,21.3,1,0,0,0,-2.69032258064516,7.52903225806452,141.280127204678,65.444927523589,45,4.19816525806452,0.296311106056631,0.826439297893795,0.530128191837164,56.7796422751745
1966,4,14,9.7,0,0,0,0,0.923333333333333,11.7366666666667,191.764386790265,64.8984608136662,47.1,4.4629959,0.390410897986768,1.05958440990661,0.669173511919839,79.1557792365269
1966,5,8,42.4,1,1,0,0,4.35806451612903,18.2612903225806,278.625386533281,57.3588197091344,73.7,3.84463412903226,0.673469870081319,1.56365491298895,0.890185042907626,128.241214728118
1966,6,10,26.7,2,1,0,0,13.24,25.85,284.253960974016,62.837346311522,71.3,3.34832058709677,0.929864389997327,2.50928134317744,1.57941695318011,154.406018621362
1966,7,8,39.4,4,2,0,0,15.8935483870968,28.658064516129,275.604598344671,63.1213228035576,135.4,3.01887193548387,1.07508345192347,2.92487556018895,1.84979210826548,165.510557987303
1966,8,8,36.1,2,2,0,0,12.4709677419355,25.7129032258064,237.444397704173,61.0303332449627,77.8,2.87700883870968,0.943824689615136,2.41503769339749,1.47121300378236,138.366747139124
1966,9,8,56.4,1,1,1,0,8.31,21.5033333333333,163.049451680437,60.0284454569434,71.4,3.161411,0.75122244248014,1.8903007992362,1.13907835675606,98.5743758001305
1966,10,6,13.2,1,0,0,0,2.43225806451613,15.5774193548387,99.9168776257146,58.952191333871,26.4,3.597275,0.543350296759825,1.30386459621939,0.760514299459565,72.5582843265537
1966,11,8,13.5,1,0,0,0,-2.30333333333333,7.44333333333333,43.2383255814959,66.8856353303429,31.9,4.02529627204301,0.271143726701778,0.817620451497207,0.546476724795428,39.1565714795278
1966,12,8,30.2,1,1,0,0,-9.51612903225806,-1.25161290322581,29.0027214917252,69.5742156858766,56.4,3.83260190322581,0.131949604286942,0.462002942009329,0.330053337722387,22.3407924562687
1967,1,13,17.8,1,0,0,0,-10.4258064516129,-1.36451612903226,33.7863128002417,66.9950513289762,40.7,3.94368593548387,0.13660614444015,0.449181995836862,0.312575851396712,23.9670368511272
1967,2,11,4.8,0,0,0,0,-14.7928571428571,-4.17142857142857,83.4128247341145,60.7973256903252,18.8,3.96648214285714,0.133494237821556,0.346779135987887,0.213284898166331,23.2613067134447
1967,3,8,12.7,0,0,0,0,-3.96451612903226,5.44838709677419,131.860796840742,67.7351966242155,26.9,4.19816525806452,0.258373054948012,0.764101121041022,0.50572806609301,50.3651958296839
1967,4,16,37.3,1,1,0,0,2.49,14.0333333333333,209.162721471751,62.9490400993686,60.6,4.4629959,0.456030532677384,1.21932825825266,0.763297725575279,89.4001992189527
1967,5,9,28.4,2,1,0,0,4.78387096774194,18.2161290322581,275.235831089229,58.6440365220396,91.8,3.84463412903226,0.6627255683067,1.55843378027127,0.895708211964568,127.695769903644
1967,6,11,42.7,5,1,0,0,14.2666666666667,25.1133333333333,273.38605734303,67.643157095041,137.2,3.34832058709677,0.78537228758441,2.4477728566361,1.66240056905169,142.919742568901
1967,7,5,7.1,0,0,0,0,13.658064516129,26.3,281.890099787372,62.8307710121878,20.1,3.01887193548387,0.948489123333286,2.54900590516675,1.60051678183346,157.083335089522
1967,8,10,17,2,0,0,0,11.8064516129032,24.5806451612903,223.373454642342,62.0112788025007,59.3,2.87700883870968,0.858031139662397,2.28108009470565,1.42304895504325,128.817690023235
1967,9,8,36.3,2,1,0,0,8.59333333333333,21.7,167.979115287834,60.5658900553728,72.1,3.161411,0.751274958753769,1.93630314258097,1.1850281838272,98.7289661809539
1967,10,13,35.6,3,3,0,0,3.88709677419355,14.2225806451613,88.3154186644943,67.42777648786,145.6,3.597275,0.469489620777323,1.31404048140737,0.844550860630046,62.9466819891967
1967,11,6,17.3,1,0,0,0,-4.15,4.09,42.3465238148938,71.1582952095382,24,4.02529627204301,0.192737953591209,0.666192979485647,0.473455025894438,30.1200212451902
1967,12,6,30,1,1,0,0,-7.98064516129032,-0.425806451612903,25.2803097833707,72.8430017745671,50.6,3.83260190322581,0.129564041913718,0.507710571681179,0.378146529767461,21.9643830976789
1968,1,8,3.3,0,0,0,0,-11.8193548387097,-3.33870967741935,36.5191998847688,68.3546363811113,11.5,3.94368593548387,0.115225559151841,0.415149067351975,0.299923508200134,20.7444716583943
