"year","month","discharge.mm"
1991,5,3.707720595351
1991,6,4.70378336268798
1991,7,5.36303201269669
1991,8,2.99427197243889
1991,9,2.84715776027251
1991,10,8.7167936013316
1991,11,12.2668918265043
1991,12,6.23299688389107
1992,1,2.81452716434088
1992,2,14.0095868736331
1992,3,6.87454758356398
1992,4,6.03389494261327
1992,5,2.39420084386552
1992,6,1.73827055954478
1992,7,6.44260698318076
1992,8,3.39579422068245
1992,9,8.3915937639112
1992,10,2.1066091509087
1992,11,12.6374426616602
1992,12,7.62117986335572
1993,1,5.80160934445584
1993,2,4.3315733446881
1993,3,59.3379091102638
1993,4,24.3457429306908
1993,5,6.24958871233089
1993,6,13.5555238353301
1993,7,55.7098292914239
1993,8,15.0487883949136
1993,9,15.2202372887917
1993,10,5.45871155669964
1993,11,5.71311959277682
1993,12,4.78950780962704
1994,1,3.72763078947878
1994,2,31.65167805369
1994,3,19.5562351210637
1994,4,5.66334410745737
1994,5,4.47426306927052
1994,6,7.66542473919523
1994,7,6.22193566493119
1994,8,6.91879245940349
1994,9,8.92640370062129
1994,10,3.87142663595719
1994,11,6.02836433313334
1994,12,4.56275282094954
1995,1,3.45110031548184
1995,2,3.73869200843866
1995,3,8.771546635183
1995,4,11.6198105173515
1995,5,10.3864846033251
1995,6,4.13136528151431
1995,7,5.55826252733853
1995,8,5.23748717750208
1995,9,2.76530473996942
1995,10,7.93642460371224
1995,11,7.78709814775389
1995,12,3.25199837420404
1996,1,10.0767704724486
1996,2,21.1822343081658
1996,3,3.59489616196025
1996,4,5.71865020225676
1996,5,8.63881200766447
1996,6,34.5607786401378
1996,7,11.7967900207095
1996,8,5.36469119554067
1996,9,2.54408036077187
1996,10,5.28173205334159
1996,11,3.0473658234463
1996,12,3.19669227940465
1997,1,13.2789933613332
1997,2,28.305659318327
1997,3,19.3239495229063
1997,4,4.90011999922581
1997,5,6.61460893800685
1997,6,9.31354636421701
1997,7,13.019054715776
1997,8,3.98203882555596
1997,9,2.22883562041535
1997,10,2.13481525925639
1997,11,2.02918061818956
1997,12,1.96557860917026
1998,1,2.90799446455184
1998,2,6.13897652273211
1998,3,20.9610099289682
1998,4,17.8085625254031
1998,5,12.3609121876633
1998,6,27.4152311920568
1998,7,9.09232198501945
1998,8,8.64987322662435
1998,9,6.76946600344514
1998,10,9.68409719937291
1998,11,7.88664911839278
1998,12,3.36261056380281
1999,1,6.29659889291037
1999,2,11.6972390500706
1999,3,4.91671182766563
1999,4,27.940639092651
1999,5,14.9879516906343
1999,6,14.3076867246018
1999,7,12.9360955735769
1999,8,6.57589467164728
1999,9,3.45110031548184
1999,10,3.39026361120251
1999,11,3.38473300172257
1999,12,3.05842704240618
2000,1,2.69340681673021
2000,2,12.0511980567867
2000,3,4.26409990903285
2000,4,7.14001683860104
2000,5,32.0609431552055
2000,6,69.2045164224747
2000,7,6.57589467164728
2000,8,9.87766853117077
2000,9,6.58695589060716
2000,10,3.55065128612073
2000,11,4.05946735827511
2000,12,3.13585557512532
2001,1,3.96544699711615
2001,2,8.79919968258269
