"year","month","prec.days","prec.max","prec.gt.12","prec.gt.25","prec.gt.50","prec.gt.76","prec.gt.101","tmin","tmax","rads","relh","prec","wspd","VPD","es","ea","RET"
2000,11,15,27.2,1,1,0,0,0,-1.78,5.01666666666667,70.229042051127,76.5764346184855,51,4.03828837204301,0.197628610363374,0.77259929392345,0.574970683560076,29.4863540596875
2000,12,16,6.6,0,0,0,0,0,-16.6741935483871,-6.49677419354839,79.0913128946141,61.5513280117309,35.3,3.81718983870968,0.104888377912286,0.290060366850908,0.185171988938623,17.3492978017804
2001,1,3,19.3,1,0,0,0,0,-10.1129032258065,-1.39677419354839,78.9906163453013,68.0683590384416,25.2,3.94368593548387,0.127060516408514,0.442307750925657,0.315247234517143,21.8512151922204
2001,2,10,32.8,1,1,0,0,0,-10.925,-2.69285714285714,107.237549457194,69.5415353799118,67.2,3.96648214285714,0.117462493740888,0.407971590895148,0.290509097154259,22.1423343618786
2001,3,9,5.6,0,0,0,0,0,-4.75161290322581,4.32903225806452,159.757072555221,68.5919866356607,15.1,4.19816525806452,0.214302637370297,0.652373710543378,0.438071073173081,47.7252467897939
2001,4,16,21.3,2,0,0,0,0,4.37333333333333,16.7566666666667,247.230886812719,61.3451262787375,78.3,4.4629959,0.581629563002561,1.45261853690886,0.870988973906302,110.281349168166
2001,5,16,28.7,3,1,0,0,0,8.93870967741936,20.3967741935484,291.020491465212,64.848687763206,105.8,3.84463412903226,0.659670371935063,1.84448282587537,1.18481245394031,136.475543858422
2001,6,13,32.5,4,2,0,0,0,13.2133333333333,24.5733333333333,292.924546661289,66.3918456768877,137.3,3.34832058709677,0.847488339923504,2.41099528328608,1.56350694336257,153.252723838966
2001,7,9,35.8,2,2,0,0,0,16.0064516129032,28.7870967741936,305.634658549614,63.134683932479,78.4,3.01887193548387,1.07632685385112,2.96535458710867,1.88902773325754,177.020212292817
2001,8,11,86.4,3,2,2,1,0,16.2290322580645,26.9161290322581,252.740862297222,68.512890439595,194.1,2.87700883870968,0.864169865754821,2.76726858775279,1.90309872199797,141.61060081662
2001,9,11,47,3,2,0,0,0,9.04,20.6133333333333,196.963149068688,64.6914279304941,140.6,3.161411,0.661007879259131,1.85683516876258,1.19582728950344,98.1167430912439
2001,10,8,47.2,1,1,0,0,0,4.5,14.2870967741935,126.911865801179,68.7184963304154,66.6,3.597275,0.416652640855386,1.29552147609283,0.878868835237441,62.4462112023344
2001,11,13,17.5,1,0,0,0,0,2.54333333333333,13.0566666666667,88.5959267653726,66.3409595375202,40.6,4.02529627204301,0.40030580842668,1.16612855943946,0.765822751012777,51.4562932673864
2001,12,8,12.2,0,0,0,0,0,-4.82258064516129,3.09032258064516,70.272439131814,72.2006182338937,28.9,3.83260190322581,0.191311733009803,0.661261706504293,0.469949973494489,26.2651804059102
2002,1,5,6.4,0,0,0,0,0,-6.09677419354839,1.85161290322581,74.3625716002131,71.7290316887298,16,3.94368593548387,0.167257477335462,0.580701723183951,0.413444245848489,26.1289980545483
2002,2,9,19.6,2,0,0,0,0,-5.55357142857143,3.85,120.463251663887,67.1482448636836,55.2,3.96648214285714,0.211232569706736,0.637201678759936,0.4259691090532,33.9078098769907
2002,3,12,11.7,0,0,0,0,0,-6.31935483870968,4.14193548387097,176.117440970839,63.9752571913029,43.4,4.19816525806452,0.23932033340232,0.6539283357199,0.41460800231758,52.0342968381845
2002,4,13,19.3,2,0,0,0,0,3.12333333333333,13.3166666666667,200.096894508573,67.8681105888296,87.7,4.4629959,0.474877879845199,1.30132389903853,0.826446019193334,89.5303833558359
2002,5,10,15.5,1,0,0,0,0,5.92903225806452,17.8548387096774,290.270054267094,63.1106777528362,74.3,3.84463412903226,0.596372058410515,1.57986542178671,0.983493363376195,126.759601592083
2002,6,11,39.1,2,1,0,0,0,14.6766666666667,26.2266666666667,308.630488375152,66.001965384949,94,3.34832058709677,0.898430611413226,2.62926316722461,1.73083255581139,162.369598545637
2002,7,7,17.3,1,0,0,0,0,17.0064516129032,29.7903225806452,301.914408457071,63.4522020354725,52.3,3.01887193548387,1.13653485283101,3.13147175444326,1.99493690161225,180.813881190643
2002,8,8,15.7,3,0,0,0,0,14.3806451612903,27.2387096774194,263.892560668467,62.5843563641835,77.2,2.87700883870968,0.997635344908634,2.6683520290505,1.67071668414187,150.643960765331
