"year","month","discharge.mm","runoff.mm","baseflow.mm"
1974,7,2.66022315985058,1.23609121876633,1.42413194108425
1974,8,2.26754988677492,0.417007954787389,1.85054193198754
1974,9,1.86934600421933,0.315797801304508,1.55354820291482
1974,10,2.68787620725028,0.929142392629725,1.75873381462055
1974,11,3.84377358855749,0.930248514525713,2.91352507403178
1974,12,3.27965142160373,0.726722085663963,2.55292933593977
1975,1,3.5174676292411,0.98389542648112,2.53357220275998
1975,2,1.97000309675422,0.372763078947878,1.59724001780634
1975,3,48.0997106470281,34.815739737163,13.2839709098651
1975,4,20.1148266785376,11.9488817814079,8.1659448971297
1975,5,5.51401765149902,1.18576267249889,4.32825497900014
1975,6,12.748054851259,6.96690876187896,5.78114608938007
1975,7,18.3284398165173,11.9936797181954,6.33476009832195
1975,8,3.69444713259915,0.995509706388991,2.69893742621015
1975,9,2.32838659105425,0.416454893839395,1.91193169721486
1975,10,2.6768149882904,0.665332320436642,2.01148266785376
1975,11,3.24093715524416,0.956242379081426,2.28469477616273
1975,12,2.62703950297095,0.289803936748795,2.33723556622215
1976,1,1.86381539473939,0.3346018735363,1.52921352120309
1976,2,18.5330723672751,13.8746400023226,4.65843236495248
1976,3,50.2953626105638,32.5255143515203,17.7698482590435
1976,4,12.2005245127451,5.70869510519287,6.49182940755221
1976,5,4.71207927690789,0.883791394894227,3.82828788201366
1976,6,2.10163160237676,0.145455029322392,1.95617657305437
1976,7,1.60830123676621,0.204079489809743,1.40422174695647
1976,8,1.83837459113167,0.51268749879033,1.32568709234134
1976,9,1.2211585731705,0.131628505622544,1.08953006754795
1976,10,1.47556660924768,0.362807981883988,1.11275862736369
1976,11,1.29858710588964,0.196336636537829,1.10225046935181
1976,12,1.12381984632357,0.188593783265914,0.935226063057658
1977,1,0.942968916329572,0.164812162502177,0.778156753827395
1977,2,12.6208508332204,9.56297685176225,3.05787398145818
1977,3,6.39891516828924,2.81895165192483,3.57996351636441
1977,4,3.36814117328275,0.67639353939652,2.69174763388623
1977,5,1.65088692976174,0.455169160198967,1.19571776956278
1977,6,1.70785220740511,0.499414036038477,1.20843817136664
1977,7,15.2633760427352,11.9931266572474,3.27024938548784
1977,8,8.48008351559022,4.93496283894943,3.5451206766408
1977,9,1.71282975593706,0.499967096986471,1.21286265895059
1977,10,2.33834168811814,0.544211972825982,1.79412971529216
1977,11,2.13647444210037,0.526514022490178,1.6099604196102
1977,12,2.32451516441829,0.845630189482649,1.47888497493565
1978,1,1.00435868155689,0.0785346546151315,0.925824026941762
1978,2,0.70625883058819,0.173108076722086,0.533150753866104
1978,3,3.02413726363056,1.51649311939923,1.50764414423133
1978,4,6.15003774169199,2.45005999961291,3.69997774207908
1978,5,10.5402355468674,6.2938335881704,4.24640195869704
1978,6,29.4565791511023,22.8552436758473,6.601335475255
1978,7,25.9330278514332,18.4750009677357,7.45802688369752
1978,8,2.06070509222521,0.256620279869162,1.80408481235605
1978,9,13.7623686298798,8.95682205276095,4.80554657711886
1978,10,2.79848839684905,0.357277372404049,2.441211024445
1978,11,3.95991638763621,1.44514825710802,2.51476813052819
1978,12,2.04577244662938,0.225648866781505,1.82012357984787
1979,1,1.61161960245418,0.257173340817156,1.35444626163702
1979,2,1.49160537673951,0.334048812588306,1.1575565641512
1979,3,23.8369268585364,15.8429839162328,7.9939429423036
1979,4,6.94644550680318,0.978917877949175,5.96752762885401
1979,5,4.29728356591248,0.66643844233263,3.63084512357985
1979,6,3.67785530415933,1.32458097044535,2.35327433371398
1979,7,3.77740627479823,1.47888497493565,2.29852129986258
1979,8,10.3201172895659,5.82151953858362,4.49859775098225
1979,9,2.10163160237676,0.0730040451351927,2.02862755724157
1979,10,2.51587425242418,0.719532293340043,1.79634195908414
1979,11,3.25752898368398,0.987213792169083,2.27031519151489
1979,12,3.56724311456055,1.09893210366385,2.4683110108967
1980,1,8.34734888807169,5.42552789982,2.92182098825169
1980,2,6.09915613447655,3.73592670369869,2.36322943077787
1980,3,11.7835165579577,8.12114696034219,3.6623695976155
1980,4,6.36020090192967,2.3239621034703,4.03623879845937
1980,5,2.11213976038864,0.330177385952349,1.78196237443629
1980,6,4.06665715059903,2.0441132637854,2.02254388681363
1980,7,1.87874804033522,0.650952735788802,1.22779530454642
1980,8,7.43037383629783,4.65456093831653,2.7758128979813
1980,9,21.5140708769621,13.202117889562,8.31195298740008
1980,10,3.36261056380281,0.437471209863162,2.92513935393965
1980,11,2.62703950297095,0.383271236959762,2.24376826601119
1980,12,2.62703950297095,0.574077264017652,2.0529622389533
1981,1,1.59724001780634,0.258832523661138,1.3384074941452
1981,2,13.929393036174,10.1746622602435,3.75473077593048
1981,3,2.79848839684905,0.392673273075658,2.4058151237734
1981,4,5.42552789982,1.96834391391023,3.45718398590977
1981,5,1.81403990941994,0.125544835194612,1.68849507422533
1981,6,3.18397187760079,1.44072376952407,1.74324810807672
1981,7,2.34608454139006,0.884897516790214,1.46118702459984
1981,8,11.4190493932297,7.70579818839879,3.71325120483094
1981,9,17.095113902491,10.8665415061838,6.22857239630712
1981,10,4.24750808059303,1.06796069057619,3.17954739001684
1981,11,3.61701859988,1.1033565912478,2.5136620086322
1981,12,3.20775349836453,0.467336501054832,2.7404169973097
1982,1,1.79136441055219,0.419773259527358,1.37159115102483
1982,2,3.01694747130664,1.34393810362514,1.6730093676815
1982,3,30.0422706950278,20.6463182495597,9.3959524454681
1982,4,10.7902190953607,5.22366065380223,5.56655844155844
1982,5,4.61805891574893,1.19018716008284,3.42787175566609
