var
prec.max
prec.gt.25
prec.gt.50
rads
relh
prec
wspd
VPD
RET
defc
prec.1mo
prec.2mo
prec.3mo
prec.6mo
prec.12mo
relh.1mo
relh.2mo
relh.3mo
rads.1mo
rads.2mo
wspd.1mo
wspd.2mo
wspd.3mo
wspd.6mo
wspd.12mo
VPD.1mo
VPD.2mo
RET.1mo
RET.2mo
defc.1mo
defc.2mo
defc.3mo
defc.6mo
defc.12mo
defc.sq
defc.1mo.sq
defc.2mo.sq
defc.3mo.sq
