date,DToPcpn,DAvSol,DAvTAir,DMxTAir,DMnTAir,DAvRHum,DAvWind
1985-03-27,0.0,160.9,11.09,14.71,5.22,82.5,5.33
1985-03-28,0.0,62.51,5.75,8.11,4.14,94.2,4.58
1985-03-29,0.0,145.9,5.07,10.29,-0.67,84.3,5.02
1985-03-30,0.0,0.0,0.46,1.9,-1.28,86.2,7.85
1985-03-31,0.0,0.0,-0.59,1.71,-2.12,94.16,4.91
1985-04-01,0.0,0.0,0.26,4.37,-2.54,72.4,7.69
1985-04-02,0.0,0.0,3.97,9.38,-3.39,80.28,4.94
1985-04-03,0.0,0.0,7.1,13.01,1.9,66.43,5.46
1985-04-04,0.0,0.0,1.34,6.23,0.14,93.07,4.78
1985-04-05,0.0,0.0,0.87,1.71,0.44,95.87,5.94
1985-04-06,0.0,0.0,2.63,6.39,0.29,75.18,6.19
1985-04-07,0.0,0.0,2.4,7.2,-1.62,68.55,5.23
1985-04-08,0.0,0.0,-1.33,2.17,-3.9,71.16,5.84
1985-04-09,0.0,0.0,0.41,6.86,-5.1,57.9,3.08
1985-04-10,0.0,0.0,8.38,17.63,-1.74,71.71,5.44
1985-04-11,0.0,0.0,8.67,15.99,1.67,81.67,3.59
1985-04-12,0.0,0.0,14.67,23.06,5.73,79.04,4.12
1985-04-13,0.0,0.0,15.12,19.37,10.45,78.98,4.89
1985-04-14,0.0,0.0,10.79,16.16,6.27,85.21,2.17
1985-04-15,0.0,0.0,12.28,21.09,2.71,72.07,2.29
1985-04-16,0.0,0.0,9.78,15.05,2.71,55.32,5.09
1985-04-17,0.0,0.0,12.93,24.53,2.36,58.81,6.69
1985-04-18,0.0,0.0,21.75,28.73,16.33,61.46,5.94
1985-04-19,0.0,0.0,22.81,28.67,17.54,56.51,6.4
1985-04-20,0.0,0.0,22.07,28.09,16.07,58.36,6.1
1985-04-21,0.0,0.0,21.87,28.15,16.8,64.83,5.23
1985-04-22,0.0,0.0,21.07,26.26,15.43,68.67,6.52
1985-04-23,0.0,0.0,18.03,25.57,13.96,79.73,5.9
1985-04-24,0.0,0.0,12.11,14.63,6.62,88.72,4.38
1985-04-25,0.0,0.0,11.7,17.59,6.35,72.8,3.76
1985-04-26,0.0,0.0,11.85,18.88,4.52,73.86,3.0
1985-04-27,0.0,0.0,7.32,11.66,2.71,80.91,3.49
1985-04-28,0.0,0.0,10.96,18.88,2.4,70.42,2.9
1985-04-29,0.0,0.0,13.41,22.23,1.63,61.53,2.68
1985-04-30,0.0,0.0,16.66,26.48,5.34,58.89,2.71
1985-05-01,0.0,0.0,9.95,0.0,0.0,62.37,4.75
1985-05-02,-6999.0,-6999.0,-6999.0,-6999.0,-6999.0,-6999.0,-6999.0
1985-05-03,-6999.0,-6999.0,-6999.0,-6999.0,-6999.0,-6999.0,-6999.0
1985-05-04,-6999.0,-6999.0,-6999.0,-6999.0,-6999.0,-6999.0,-6999.0
1985-05-05,-6999.0,-6999.0,-6999.0,-6999.0,-6999.0,-6999.0,-6999.0
1985-05-06,-6999.0,-6999.0,-6999.0,-6999.0,-6999.0,-6999.0,-6999.0
1985-05-07,0.0,0.0,15.38,23.61,5.8,51.05,2.15
1985-05-08,0.0,0.0,16.04,24.37,6.94,65.09,3.57
1985-05-09,0.0,0.0,21.01,27.42,14.59,46.78,6.68
1985-05-10,0.0,0.0,21.76,28.5,14.63,47.23,6.64
1985-05-11,0.0,0.0,19.5,23.51,14.67,83.5,7.36
1985-05-12,0.0,0.0,16.55,19.65,10.66,79.62,7.8
1985-05-13,0.0,0.0,14.97,22.23,5.38,58.86,3.12
1985-05-14,0.0,0.0,17.9,27.81,9.73,80.87,4.52
1985-05-15,0.0,0.0,13.74,16.63,11.06,88.98,5.23
1985-05-16,0.0,0.0,12.41,18.03,9.1,89.05,4.79
1985-05-17,0.0,0.0,13.15,19.83,7.48,73.55,5.52
1985-05-18,0.0,0.0,15.09,20.99,10.05,67.82,3.42
