year,tmin,tmax,rads,relh,prec,wspd,es,ea,VPD,RET
1986,2.56301368948531,13.3191780658617,150.036465501132,81.8415945288253,810.099996864796,4.49643834127139,1.43371845442015,0.76699087868515,0.666727575734995,725.483677416958
1987,3.84931508612959,14.9986301039996,163.274410552195,78.5681343496662,849.499995172024,4.41315068382106,1.54829555108737,0.786078313956885,0.762217237130488,811.072291264054
1988,1.78169399402181,14.6101093236866,157.616611759519,70.820642012716,624.499996602535,4.76748633026425,1.57667319461364,0.620326402337752,0.95634679227589,940.47181016263
1989,1.17561641784563,13.133972596469,138.922355813849,75.3295890808105,595.400000154972,4.3536986295491,1.42021571264935,0.66062892225307,0.759586790396285,742.918006118355
1990,3.21068495169078,14.7243835374101,136.577205469837,81.0039451494609,928.599994838238,4.72547944147293,1.49792732725003,0.789876759867607,0.708050567382424,702.404306265295
1991,2.98410959145794,14.5410958809395,131.826383627278,83.4225837812032,994.199992835522,4.37917807445134,1.55422517234322,0.820301084542702,0.733924087800513,674.443362609623
1992,2.69316940490014,13.3412568370501,129.745929007973,82.4141965980738,817.299998760223,4.19781420595659,1.37945158091234,0.713697203793598,0.665754377118746,666.291572605864
1993,2.73150687087072,13.181643850836,142.901452099787,84.3122463696623,1102.3000035882,4.25808218113364,1.42515262349835,0.803305522350199,0.621847101148147,656.431037255128
1994,2.19178082224441,14.3112329051919,155.629753414572,81.3841533922169,853.199994325638,3.90383559947144,1.51089848634059,0.777399304244418,0.73349918209617,741.885959842811
1995,2.76438356588965,14.0030137225373,152.775068476429,82.196611012498,854.099992871284,4.18684930768732,1.55297221620073,0.807711539340355,0.745260676860377,748.324971756178
1996,1.1065573972431,11.8622950781239,150.828224219911,79.5247267842944,805.599993526936,3.75546447892007,1.32579922147886,0.690640764317865,0.635158457160997,695.343683631808
1997,2.31643833885454,12.4208219149341,153.997533893585,79.0866793488803,728.899997055531,3.36225916718783,1.35139146510519,0.708180949271156,0.643210515834031,720.725476243077
1998,4.95808219550407,14.9424657677951,158.162821137415,78.4016603757257,1015.39999830723,3.32739725668136,1.55610519290242,0.81832490196482,0.737780290937598,798.24184024161
1999,3.37835615628386,14.5326027527247,167.092766895033,76.3564711374779,812.200001478195,3.37397259767741,1.51003354637072,0.747348352556853,0.762685193813871,812.064053250444
2000,2.83825139302374,13.4644808414204,160.317130469234,77.0033088642391,1025.30000400543,3.3732240318112,1.44669025068757,0.741778936025073,0.704911314662493,767.387148402983
2001,3.76657532371887,14.1460274095405,160.222986162525,76.1418821099686,963.599013095782,3.23150683935374,1.49582088951468,0.750495925679269,0.745324963835414,791.221328439699
2002,3.43260273966071,14.0561644328784,166.007178037461,75.436191705155,684.965474099188,3.36958903411072,1.49132966605266,0.737819920604175,0.753509745448487,806.991003686241
2003,2.1071232668341,13.5424657900039,165.740821394202,73.4765534910437,774.155025821212,3.34849313848639,1.43912883846708,0.671877785982322,0.767251052484758,817.838543828185
2004,3.0950819582887,13.6213114929329,152.122349861541,76.9722952191295,962.748940564638,3.29426228560385,1.43509036512679,0.742035113535821,0.693055251590974,755.613573047027
2005,3.60630134458411,14.5446575608972,160.171506988839,76.006528734181,731.610338926727,3.17698629849578,1.57105623118628,0.747641721137505,0.82341451004877,831.102004952784
2006,4.09095890456683,14.403561638806,133.354328776059,78.2248492933299,1097.77796105951,3.39232876023201,1.49350377138814,0.780593386326473,0.712910385061665,718.495846106803
2007,3.60575340512681,14.0802739776977,158.472191844574,77.820106663116,1030.48745534202,3.2931506818288,1.55789230367369,0.78890739654655,0.768984907127139,803.56413608799
2008,1.96502735054558,12.6576502997367,156.574699271572,80.519401769169,1071.61123064005,3.1073770396045,1.41642439028046,0.738042956475979,0.678381433804478,718.213719310922
2009,2.22410958139864,12.9049315237019,156.635835438559,79.1977534672985,977.44476196388,3.03890410204456,1.38286871145292,0.715811048304536,0.667057663148387,720.333043449857
2010,3.71424659310955,14.5167122795157,172.421562001477,80.4909862779591,1033.73440857004,2.91589040944021,1.5656359022272,0.834949707608182,0.730686194619019,792.895961540429
2011,3.51972603732592,14.0553424867865,160.012054613192,80.4117534271658,829.110205393199,3.1536986168525,1.51931935430922,0.787624978547259,0.731694375761959,754.06675746993
2012,4.86256831623817,16.6612021939351,168.444617340474,76.2858469603492,540.785452543597,3.0352458931465,1.71553190233705,0.780352260118811,0.93517964221824,899.64297481542
2013,2.40219182445578,12.9635616720539,158.463725774582,80.9396576136759,1079.72235712806,3.08849314998274,1.45556935359806,0.765505298169899,0.690064055428164,722.501100741586
2014,5.48087993747167,16.6694671527234,161.9054793593,79.328643840633,1178.92717285082,3.80492067851432,1.68228962008665,0.836352361217174,0.845937258869479,842.49489560149
2015,5.02930961379779,16.081352418706,159.273103661407,78.911712165728,1020.35444201529,3.81587715816416,1.64541663391694,0.833629313671788,0.811787320245149,819.963383438692
2016,6.11894131244535,17.3306815493684,151.497021955871,79.3134234902637,1263.37785153091,3.71312860395413,1.78440601890007,0.899198961977976,0.885207056922095,837.001444484528
2017,5.41848691657994,16.3352459254348,152.524800022334,79.4147066926303,995.699097730219,3.82499329166053,1.66826439882863,0.862973114801104,0.805291284027527,810.898340101093
2018,5.4452167706998,16.2787822744886,152.137829408254,78.9460848142023,766.498944484629,3.69466763824633,1.71987906379129,0.886624158858247,0.83325490493304,818.028197636573
2019,5.89660187003815,17.1390595764051,158.348879392996,78.6549944002334,994.423614360392,3.82198822275825,1.79867123407105,0.919695787344075,0.87897544672697,852.251884570676
2020,5.22442899166082,16.1986691998951,151.209828413249,78.6869917906047,988.488893657923,3.80517099475071,1.65314826123419,0.83619333929653,0.816954921937658,809.263214617189
2021,6.31923786305401,17.7253125482796,159.34044917381,78.2399233465325,1092.64606821537,3.88707325883108,1.82473873946392,0.906688732691635,0.918050006772289,880.029896575609
2022,5.33191710476132,16.3354697702031,148.084534907668,79.736906830252,1074.14485238492,3.76296817396037,1.6913846243403,0.872193664567335,0.819190959772963,802.677778558354
2023,5.32190122524108,16.4777939279276,152.653183164009,78.6398466136358,973.301989242435,3.86245336753048,1.71951955444561,0.879200315701056,0.840319238744552,819.834143582887
2024,6.10478658370213,17.3790241732461,152.61651531725,79.5417951469213,1327.77508484572,3.78033274872727,1.80278383664224,0.912659045138098,0.890124791504141,843.966313969103
2025,5.95457153815004,17.0734751862291,158.491738924262,79.4779261340834,1009.81817854941,3.90484501835826,1.77323530198797,0.91091156304098,0.862323738946989,839.850337073505
2026,5.58352602378567,16.5876684081652,153.378914545987,78.7831424556366,1154.53038243204,3.83960821669396,1.73397837003909,0.888522594965441,0.845455775073651,839.057572592602
2027,6.12352292393154,17.2119744223193,156.115345992128,78.6977422949386,1074.45949240774,3.99295875323962,1.77434826741077,0.893702578169999,0.880645689240768,872.221903672499
2028,5.42687113465956,16.5815794096829,155.265344724629,79.1636338989591,910.252373996103,3.65752966742698,1.72428247966188,0.86498769173543,0.859294787926452,840.256692309217
2029,5.7094196746954,16.9066139486543,157.059635110097,78.6291425940109,932.449059267412,3.74056032304078,1.71856119885966,0.859582728040826,0.85897847081883,849.731815975031
2030,5.28763883052557,16.224820233765,153.859939206463,79.5416766441032,1010.62969712913,3.7519240477722,1.66570871154728,0.850586198896457,0.815122512650822,809.049750983305
2031,6.76164048702676,17.4228330007077,155.635175883933,79.9485341424811,1294.23837240785,3.97352633770198,1.78419834264581,0.928364303900743,0.855834038745065,847.140158390297
2032,6.37243585014205,17.0193180650879,147.059841890804,78.9852621881037,1420.8358572498,3.79413005141694,1.80230690061442,0.929872090688425,0.872434809925992,825.186069356652
2033,5.58951602564289,15.9592853306918,148.646577217808,80.0047861177627,1029.23446720839,3.80226175482959,1.66946062281618,0.879289357133926,0.790171265682254,800.198783761725
2034,6.50291071153582,17.3261044485551,151.552143431363,78.2290713793611,932.595569815952,3.94145334803895,1.82826197625647,0.932776498632726,0.895485477623742,859.743238237542
2035,5.53462898581234,15.8783164557899,143.364512814561,79.4160355241331,929.561475619674,3.76196928252913,1.65864992416338,0.874550902491535,0.784099021671847,773.731071987141
2036,5.34928672582158,15.6869955005481,148.141905462156,79.6909644538588,1352.34959730506,3.90623150081145,1.66182015717389,0.889473432172727,0.772346725001164,786.725582989559
2037,7.29978458336815,17.9254910494596,148.948336941575,79.1463125045985,856.983754209243,3.82721345734923,1.88912411420102,0.981936527518757,0.907187586682263,860.239854032987
2038,6.1907672651053,17.0797026104183,154.631896709416,78.4985150324155,761.188765361905,3.93276917525656,1.74359677372273,0.884257779899719,0.859338993823008,850.377036432157
2039,6.43598611828035,17.8951484225341,159.242761177559,78.0536218930597,581.267548110336,3.74298363120538,1.82068816148088,0.890485673353985,0.930202488126896,883.910551205111
2040,6.53682016051404,17.5483336898193,150.091584724155,79.550576413264,888.392585933208,3.87689169402657,1.81942654604733,0.936448415105476,0.882978130941857,841.111423951063
2041,7.05769100330833,17.8516438017526,155.829818833691,79.6586191255752,1278.75751568377,3.85363378075704,1.8692259073787,0.957297168538013,0.911928738840684,878.913131737614
2042,6.8785139145762,17.8553781644381,151.746618460302,78.1797698974609,747.68401119113,3.84954711786688,1.8386914319781,0.9275417441122,0.911149687865904,872.294584371182
2043,6.05013127927,17.1227794507228,153.006257194117,78.9556463790266,1043.52453923225,3.98676320869629,1.78784970842699,0.896751485307016,0.891098223119969,850.019851100249
2044,6.3941511437803,17.0477925064848,149.070496178471,79.5659178645233,651.636101204902,3.70219546707113,1.79240948327358,0.941723725705857,0.850685757567725,839.662217390297
2045,6.80356891133364,18.0066964595271,153.832455731091,79.5768711769418,1232.37895658612,3.81487116593204,1.83434995716122,0.916075018102723,0.918274939058501,865.610536236301
2046,6.63584044177641,17.810409562553,152.632466422042,78.8996027175694,1290.25343083404,3.86247553070114,1.85509466378924,0.938901710607275,0.91619295318196,870.883666986192
2047,8.06545733219145,19.2419157024423,151.51172394132,79.9330110628311,946.878881894052,3.7612609301732,2.0126373942646,1.04712982716805,0.965507567096555,877.76406050975
2048,6.80833373499324,18.0727417539927,154.866771799619,78.1670246124268,1029.28485397168,3.78034617230703,1.88991572455677,0.944380601818789,0.945535122737985,900.016849559996
2049,5.92218769458592,17.2352769896995,158.856775081974,78.9246327961961,892.824510452105,3.91444125608222,1.75570269167679,0.871719483193871,0.883983208482918,866.312898218253
