"year","month","tmin","tmax","rads","relh","prec","wspd","es","ea","VPD","RET","prec.days","prec.max","prec.gt.12","prec.gt.25","prec.gt.50","prec.gt.76","prec.gt.101","aet","srunoff","drainage"
2030,1,-10.784638109525,-1.27263398466179,70.4428712783321,84.2158065303679,51.1290586292744,3.87023548926077,0.423478510765992,0.235605888596168,0.187872622169824,11.883347000844,10,23.4249992370605,1,0,0,0,0,0.0652188433094877,0.0295221373613762,1.088468802736
2030,2,-8.07085511581599,3.32087961582546,107.774821111134,81.547785622733,138.861398816109,4.08112499969346,0.571516328415263,0.287634848142823,0.28388148027244,19.5268266493694,6,66.6029968261719,2,2,2,0,0,0.0425152897649909,0.593330728336233,1.48592837632739
2030,3,-8.00249331507484,3.85778216641807,165.230871385144,75.8509357821557,11.0480599105358,4.76100645526763,0.64398876634673,0.290730446927869,0.353258319418861,38.2695519194208,2,10.7709999084473,0,0,0,0,0,0.110548650769758,0.116281779462229,1.91856782250473
2030,4,5.35427772402862,17.3921827921815,198.690333684285,71.6568335215251,111.881750047207,4.60157997608185,1.5078096176528,0.669722003649233,0.838087614003569,82.9388533703746,8,27.1070003509521,5,1,0,0,0,1.05701163215791,0.248030202686003,1.68390058760224
2030,5,14.9646957536684,28.0834257069985,248.245436976033,69.6570000187043,150.677203297615,4.40653870951745,2.89816159042667,1.27898307596026,1.61917851446641,143.340901412877,9,48.0730018615723,3,3,0,0,0,1.77922623857765,0.456581264408878,1.60327279950366
2030,6,19.8010601821995,31.8904177580161,243.582433700562,73.7783664703369,55.9471021145582,3.34094332853953,3.58377808121985,1.74568249896068,1.83809558225916,148.706850805329,6,33.4830017089844,2,1,0,0,0,3.34659534698293,0.0943610177655579,1.67169041100887
2030,7,20.1177919398957,32.2841139108252,249.121288176506,78.3090640652564,64.9421302378178,3.0425845211552,3.62945787041183,1.88214227653003,1.7473155938818,144.532177167635,12,25.9160003662109,1,1,0,0,0,3.86355323007896,0.0723297113626775,1.44816697656408
2030,8,18.0685394622991,29.6653439841198,213.445611523044,82.4523545542071,38.6772105395794,2.48966032651163,3.14482146045301,1.75165935642017,1.39316210403284,116.15316075745,6,23.7660007476807,1,0,0,0,0,2.38767371206795,0.0417994333426157,1.17330814563952
2030,9,14.2109017905242,25.7534555560441,164.247467041016,79.2051996866862,59.322090446949,2.91032535235087,2.55469367524498,1.34224631612999,1.21244735911498,80.639179490568,9,16.7180004119873,2,0,0,0,0,1.61115945091218,0.0625966636414394,1.0301112896427
2030,10,3.46791044382805,13.8749744113777,104.648128878686,79.8903551409321,111.711358696222,3.86159031621871,1.21176764671409,0.639127227163312,0.572640419550774,41.1908088451877,10,56.5849990844727,3,1,1,0,0,0.602661169552925,0.367784201283836,1.25492054043529
2030,11,1.51566672755557,10.0112747249344,66.1957902590434,86.3429665883382,105.971208751202,4.02248997688293,1.00972806616045,0.618372456617684,0.391355609542762,21.5533641339503,16,48.0919990539551,1,1,0,0,0,0.156886133613623,0.298245528782922,1.34288672540159
2030,12,-7.61422076415011,0.97323808113858,43.6410224130077,84.6483543149887,103.295268766582,4.50846452097739,0.509963040983415,0.303510783581875,0.20645225740154,13.2121378133821,9,42.7869987487793,2,1,0,0,0,0.0684623260339434,0.0845614403845087,1.29004352195976
2031,1,-3.58845219618377,3.15898987742595,56.4947420550931,89.0839356453188,43.7774901688099,4.31779127592041,0.636129237183534,0.444839277158587,0.191289960024948,13.3988176604893,12,22.371000289917,1,0,0,0,0,-0.0284556834492558,0.113796133117909,1.31205509050721
2031,2,-7.03972830244219,2.82604896470687,105.18071433476,82.0403210776193,36.945100158453,3.89975712980543,0.567747733576559,0.308882272052594,0.258865461523965,19.1602532950775,11,7.59159994125366,0,0,0,0,0,0.0286226308957805,0.101654803859513,1.29062764509429
2031,3,-4.4765460066427,6.9844992314281,131.085861067618,77.5762257729807,151.172881007195,4.06359997872383,0.844025211405732,0.384917672891989,0.459107538513743,40.9286982570888,10,48.8310012817383,6,1,0,0,0,0.120493299823027,0.818907074855756,1.63393486127218
2031,4,3.40200183449432,16.9937684661431,191.600332768758,71.9589000701904,95.2533591091633,3.97533997694651,1.42468022473924,0.596225546640764,0.828454678098476,75.8725825410727,12,28.92799949646,3,1,0,0,0,1.10953961803736,0.170163309926108,1.61274923970767
2031,5,9.15333662137186,22.2860997349637,227.424159265334,69.0121293837024,78.4163511395454,4.10232899650451,1.98114676744069,0.820639017279546,1.16050775016115,115.585183128927,11,27.6730003356934,1,1,0,0,0,1.41301092017716,0.148496281582987,1.49739625774469
2031,6,17.6620941421498,30.1163396378063,243.217600504557,75.1646331787109,9.95117595233023,3.22371363441149,3.19110786248045,1.53800367317067,1.65310418930978,136.728438434647,8,6.66039991378784,0,0,0,0,0,2.59088212313871,0.00913322248026674,0.986141853238751
2031,7,18.5666746353088,30.5206033436956,258.021867813603,77.9653544272146,168.407598257065,2.82311323573512,3.28986663263141,1.7177124211756,1.57215421145581,140.097451015324,7,72.5019989013672,3,2,2,0,0,3.6789240863964,1.027372248177,1.03579902526208
2031,8,16.7451658581138,28.711973317758,254.428452030305,80.4299999360115,82.2648992538452,2.67092260237663,2.98652646883056,1.60052494431885,1.38600152451171,123.470803871018,7,44.6889991760254,3,1,0,0,0,3.66607923346951,0.238502516210925,1.27429769874098
2031,9,8.22340900183181,19.8473740608663,156.538499323527,80.089900080363,51.7443000078201,2.76347666879495,1.78495895217011,0.935186437614702,0.849772514555407,63.6081679579114,8,15.9799995422363,1,0,0,0,0,1.5207202243304,0.0529874731928112,0.984893946554795
2031,10,4.35949802687821,16.2714043511775,122.019451018303,77.049677448888,37.5740299224854,3.18683579660231,1.47332156206274,0.703900189655992,0.769421372406744,48.3595174444104,11,8.44989967346191,0,0,0,0,0,0.905263149611697,0.0367538969033762,0.910223787091161
