"year","month","tmin","tmax","rads","relh","prec","wspd","es","ea","VPD","RET","prec.days","prec.max","prec.gt.12","prec.gt.25","prec.gt.50","prec.gt.76","prec.gt.101","aet","srunoff","drainage"
2030,3,-1.43835931493892,9.19037985130238,143.497646885533,78.3437092688776,42.2703594565392,4.27935676420889,0.897607184390455,0.453020124756305,0.44458705963415,44.7478058500437,11,18.7749996185303,1,0,0,0,0,0.214341542800475,0.0642430190884179,1.16832440780485
2030,4,6.83712059050903,19.3326106606241,199.340832646688,72.4541670481364,107.388579666615,4.16793670256933,1.68713489045377,0.779274899730017,0.907859990723753,85.0796402117591,14,24.3519992828369,3,0,0,0,0,1.22646593279419,0.201012255036608,1.14851776356247
2030,5,10.9376172894077,23.0675854520878,200.100256766042,72.5505485534668,107.823980391026,4.50817096617914,2.19430274253785,0.999772077355574,1.19453066518228,106.946192760786,17,26.6949996948242,3,1,0,0,0,1.99646201353732,0.177797999181163,1.15973493287296
2030,6,15.9811454628595,28.3838568902155,262.13350054423,75.9068668365478,54.0905200541019,3.54920330842336,2.87910562972999,1.41895287184901,1.46015275788098,136.298255237954,13,15.2150001525879,2,0,0,0,0,3.65194303726826,0.064487013689919,0.758612379880973
2030,7,16.9420003276668,29.2376516480787,252.6927428707,77.1111287763042,68.9989704489708,2.67975001565872,3.01430818078559,1.51454172599364,1.49976645479195,134.6696819153,9,25.1809997558594,1,0,0,0,0,3.50023832891867,0.0826709757982251,0.410942977708233
2030,8,16.8695120955748,28.4625180362405,198.880323348507,82.9592253162015,149.754553198814,2.49094578335362,2.95121668137771,1.63523610938733,1.31598057199038,103.382789094428,12,66.8550033569336,3,2,1,0,0,2.76904587697186,0.755209708055509,0.649353298735594
2030,9,10.435489971358,22.6308956508546,175.270800654093,76.9774332682292,85.6546003818512,2.85956434259812,2.07308444908305,1.00631635282946,1.06676809625359,77.1636194955584,6,45.1580009460449,2,1,0,0,0,2.02211077898644,0.190288811101208,0.625454387612193
2030,10,6.4131736799132,18.9293384765343,131.471097023256,77.7028067804152,75.7135298252106,3.47055578231812,1.63609318687982,0.783501060055887,0.852592126823931,53.9208268691648,10,22.9669990539551,2,0,0,0,0,1.31691378220284,0.101024548394341,0.820417480249743
2030,11,-1.79895356628534,8.02602193803775,65.9116664568583,86.895566813151,176.037513375282,3.41187297503153,0.846606027949108,0.492636610647381,0.353969417301726,18.6566331766024,11,86.8710021972656,4,2,1,1,0,0.203495105829196,0.499955753888226,1.06865486277046
2030,12,-4.62787144883294,2.90072890677836,53.0012582963513,86.4127416303081,61.6615500748158,4.81106448558069,0.614628170287309,0.408348894305456,0.206279275981853,13.6177361569488,7,34.4930000305176,1,1,0,0,0,0.000566151176108263,0.185813602373029,1.64142872630959
2031,1,-5.91322370128954,1.85870688079876,66.9678387026633,88.1110320552703,58.9023588895798,4.1267871010688,0.555846752748728,0.35697603097985,0.198870721768877,12.870861288079,8,36.4669990539551,1,1,0,0,0,-0.00292665880986003,0.101655682990365,1.27604386138145
