year,tmin,tmax,rads,relh,prec,wspd,es,ea,VPD,RET
1986,2.56301368948531,13.3191780658617,150.036465501132,81.8415945288253,810.099996864796,4.49643834127139,1.43371845442015,0.76699087868515,0.666727575734995,725.483677416958
1987,3.84931508612959,14.9986301039996,163.274410552195,78.5681343496662,849.499995172024,4.41315068382106,1.54829555108737,0.786078313956885,0.762217237130488,811.072291264054
1988,1.78169399402181,14.6101093236866,157.616611759519,70.820642012716,624.499996602535,4.76748633026425,1.57667319461364,0.620326402337752,0.95634679227589,940.47181016263
1989,1.17561641784563,13.133972596469,138.922355813849,75.3295890808105,595.400000154972,4.3536986295491,1.42021571264935,0.66062892225307,0.759586790396285,742.918006118355
1990,3.21068495169078,14.7243835374101,136.577205469837,81.0039451494609,928.599994838238,4.72547944147293,1.49792732725003,0.789876759867607,0.708050567382424,702.404306265295
1991,2.98410959145794,14.5410958809395,131.826383627278,83.4225837812032,994.199992835522,4.37917807445134,1.55422517234322,0.820301084542702,0.733924087800513,674.443362609623
1992,2.69316940490014,13.3412568370501,129.745929007973,82.4141965980738,817.299998760223,4.19781420595659,1.37945158091234,0.713697203793598,0.665754377118746,666.291572605864
1993,2.73150687087072,13.181643850836,142.901452099787,84.3122463696623,1102.3000035882,4.25808218113364,1.42515262349835,0.803305522350199,0.621847101148147,656.431037255128
1994,2.19178082224441,14.3112329051919,155.629753414572,81.3841533922169,853.199994325638,3.90383559947144,1.51089848634059,0.777399304244418,0.73349918209617,741.885959842811
1995,2.76438356588965,14.0030137225373,152.775068476429,82.196611012498,854.099992871284,4.18684930768732,1.55297221620073,0.807711539340355,0.745260676860377,748.324971756178
1996,1.1065573972431,11.8622950781239,150.828224219911,79.5247267842944,805.599993526936,3.75546447892007,1.32579922147886,0.690640764317865,0.635158457160997,695.343683631808
1997,2.31643833885454,12.4208219149341,153.997533893585,79.0866793488803,728.899997055531,3.36225916718783,1.35139146510519,0.708180949271156,0.643210515834031,720.725476243077
1998,4.95808219550407,14.9424657677951,158.162821137415,78.4016603757257,1015.39999830723,3.32739725668136,1.55610519290242,0.81832490196482,0.737780290937598,798.24184024161
1999,3.37835615628386,14.5326027527247,167.092766895033,76.3564711374779,812.200001478195,3.37397259767741,1.51003354637072,0.747348352556853,0.762685193813871,812.064053250444
2000,2.83825139302374,13.4644808414204,160.317130469234,77.0033088642391,1025.30000400543,3.3732240318112,1.44669025068757,0.741778936025073,0.704911314662493,767.387148402983
2001,3.76657532371887,14.1460274095405,160.222986162525,76.1418821099686,963.599013095782,3.23150683935374,1.49582088951468,0.750495925679269,0.745324963835414,791.221328439699
2002,3.43260273966071,14.0561644328784,166.007178037461,75.436191705155,684.965474099188,3.36958903411072,1.49132966605266,0.737819920604175,0.753509745448487,806.991003686241
2003,2.1071232668341,13.5424657900039,165.740821394202,73.4765534910437,774.155025821212,3.34849313848639,1.43912883846708,0.671877785982322,0.767251052484758,817.838543828185
2004,3.0950819582887,13.6213114929329,152.122349861541,76.9722952191295,962.748940564638,3.29426228560385,1.43509036512679,0.742035113535821,0.693055251590974,755.613573047027
2005,3.60630134458411,14.5446575608972,160.171506988839,76.006528734181,731.610338926727,3.17698629849578,1.57105623118628,0.747641721137505,0.82341451004877,831.102004952784
2006,4.09095890456683,14.403561638806,133.354328776059,78.2248492933299,1097.77796105951,3.39232876023201,1.49350377138814,0.780593386326473,0.712910385061665,718.495846106803
2007,3.60575340512681,14.0802739776977,158.472191844574,77.820106663116,1030.48745534202,3.2931506818288,1.55789230367369,0.78890739654655,0.768984907127139,803.56413608799
2008,1.96502735054558,12.6576502997367,156.574699271572,80.519401769169,1071.61123064005,3.1073770396045,1.41642439028046,0.738042956475979,0.678381433804478,718.213719310922
2009,2.22410958139864,12.9049315237019,156.635835438559,79.1977534672985,977.44476196388,3.03890410204456,1.38286871145292,0.715811048304536,0.667057663148387,720.333043449857
2010,3.71424659310955,14.5167122795157,172.421562001477,80.4909862779591,1033.73440857004,2.91589040944021,1.5656359022272,0.834949707608182,0.730686194619019,792.895961540429
2011,3.51972603732592,14.0553424867865,160.012054613192,80.4117534271658,829.110205393199,3.1536986168525,1.51931935430922,0.787624978547259,0.731694375761959,754.06675746993
2012,4.86256831623817,16.6612021939351,168.444617340474,76.2858469603492,540.785452543597,3.0352458931465,1.71553190233705,0.780352260118811,0.93517964221824,899.64297481542
2013,2.40219182445578,12.9635616720539,158.463725774582,80.9396576136759,1079.72235712806,3.08849314998274,1.45556935359806,0.765505298169899,0.690064055428164,722.501100741586
2014,4.92681931948462,16.1191076504908,153.57697708868,78.5104739254468,954.87638977915,3.70435065831224,1.7263236322799,0.869429221951094,0.856894410328803,826.406582130391
2015,4.49883266854313,15.7353545401558,152.807213993922,79.0299505991479,1071.89150822163,3.84900785497811,1.72795237552186,0.852127863903373,0.875824511618488,828.950248736711
2016,6.18046549639028,17.3008707099357,158.089925480263,79.3020383282437,913.371775597334,3.68577059539534,1.87436325023929,0.948184288006674,0.926178962232613,861.680880356
2017,4.87189125696011,15.9675659013431,159.785544526087,78.8758002085228,780.705213472247,3.90673090672656,1.65781903975564,0.826247053348695,0.831571986406944,836.288456482223
2018,5.26393752070537,16.0642844566183,150.572531990156,78.957901251806,931.450435467064,3.71440341427718,1.76350753299402,0.921620682476289,0.841886850517735,820.761293507814
2019,4.62218688074859,15.8169334868968,152.179336502617,77.9854108941065,906.169251851737,3.80620497562986,1.67802577006729,0.83722750570456,0.840798264362725,820.819483992615
2020,5.0230805155116,16.4787961172273,155.216174846546,78.335292440946,748.892631378025,3.74712332884293,1.70552643009406,0.83728287847761,0.868243551616447,845.504559207516
2021,4.87182636066233,16.3808322455663,154.775692378495,78.0667016120806,1279.4635610804,3.88831863227772,1.72799104652649,0.84984806608961,0.87814298043688,841.492512574548
2022,4.41601162019216,15.5258914432319,154.22325127484,79.7923835858907,1123.03898412734,3.92440777086232,1.65646163905675,0.848045525718195,0.808416113338553,808.461809212401
2023,4.84420314611645,15.9435553376264,156.626044136286,78.474917832466,1003.57058037445,3.79612928859583,1.6915175877074,0.827040723985036,0.864476863722366,844.593132805629
2024,4.21013386201988,15.8686051875645,150.809053571172,77.9546148477356,1169.40977441519,3.85844885219967,1.68262919369341,0.832071327030038,0.850557866663374,819.917040441994
2025,5.00057476989627,16.3793358293757,159.344846704561,78.6564107816513,785.275190893561,3.78426734030451,1.69919949134324,0.832358974559093,0.866840516784149,836.560654316312
2026,4.00071977892296,15.2789247786036,154.684078875633,78.9170385073309,1040.59857934713,3.86475209640722,1.63453263238591,0.814103018898167,0.820429613487745,811.569660766821
2027,5.41226657280791,16.246541692861,155.121294740128,78.9219259392725,977.834638357162,3.70172616178042,1.72354083077364,0.883802931495267,0.839737899278371,834.890038650335
2028,4.69356159163516,15.7727675387049,149.748361769921,79.7324673178417,1058.26453968138,3.78707242675655,1.67226687945886,0.855705929126126,0.81656095033273,793.513763526746
2029,5.3891492050739,16.4113265012824,153.900696555188,79.3231918021424,1313.50014045835,3.8828139425957,1.77264546935169,0.901119317172459,0.871526152179232,856.666783563907
2030,5.30744766363171,16.372214045866,156.540295564965,78.9550108713646,1003.46384025365,3.82376479318697,1.8136809475976,0.923750697861088,0.88993024973651,861.947159366388
2031,4.81888938291211,15.8072368737977,155.053200849768,79.4177862088974,822.100215310231,3.57340478517421,1.64216293291081,0.832157567129835,0.810005365780978,807.948737013437
2032,6.11404790407725,17.3888800813004,155.669595902083,79.3134972202322,1229.85827757418,3.93875243152426,1.84063754864511,0.922726994016291,0.917910554628821,875.846021997516
2033,6.7806565370666,18.2517215358339,158.473810615278,78.8235342783471,855.441591702402,3.71970760277281,1.94719954574608,0.97459159395179,0.972607951794289,898.873695246696
2034,5.58373815809774,16.4649417731364,149.610809303963,79.5017069254836,884.178339753998,3.72093282544552,1.72136396698229,0.875625859315935,0.845738107666355,817.928862059885
2035,6.96085988892965,18.4397829162915,155.753442648666,78.8172630937132,780.932952344418,3.81784430060485,1.90410660335753,0.949310101236585,0.954796502120948,882.358522863472
2036,5.34706820334217,16.9994202516398,149.860901520715,78.3777950682927,895.460746716708,3.82311750327547,1.78344195463228,0.869121588661392,0.914320365970884,835.420390675723
2037,5.99937015914301,17.2476372745332,152.745507745873,78.7560713572045,1244.69834829122,3.8779845979524,1.7988228123041,0.892263501799135,0.90655931050496,864.549020160658
2038,5.28049886255984,16.5527768453695,150.3444206535,78.4604847320139,993.155872758478,3.76785322274656,1.70061354291097,0.850317078821197,0.850296464089769,818.002586006078
2039,6.18852488961734,17.5665570625922,155.645023766936,78.7541754213098,1158.17626963556,3.79002446058678,1.85469538287472,0.926380862612649,0.928314520262067,867.305077055783
2040,5.39195398567774,16.3010848778549,154.317577639401,78.9396365848395,979.022211365402,3.76737549068416,1.68118987356223,0.861269586032144,0.819920287530084,828.332098101343
2041,5.14062455677698,15.8346658220557,156.126096106065,79.0671698165266,868.352690503001,3.9796103657134,1.64040836884458,0.8406086749014,0.799799693943182,830.304446473754
2042,6.24671236795932,18.3227631503201,155.706993314665,78.5255451568186,1067.67883311026,3.65042723241734,1.88586476601107,0.920827095120631,0.965037670890439,880.431225169355
2043,6.75242421345623,18.9498381793806,163.510920719251,78.2338302298768,858.367185181938,3.7003322883828,1.97853206799719,0.948167735240076,1.03036433275712,928.090883274783
2044,6.16606805189217,17.1859509197154,157.014985108962,79.5689781272346,945.955373890698,3.95472713564955,1.79913786924697,0.914020276632546,0.885117592614424,859.638907464447
2045,4.94498069857064,15.8030295823967,157.552073722996,78.8051806410698,1123.99514956772,3.76579663173793,1.64188146496553,0.832204266553043,0.809677198412491,822.381386130075
2046,5.11206732206699,16.1239932734425,154.783700128777,78.8174657116198,618.507809937,3.80076972842217,1.70405659121604,0.862680841162587,0.841375750053452,833.846032048216
2047,5.90465331721648,17.190770397368,154.33621850471,78.4415507799959,749.146656088531,3.83500487714598,1.79488688000038,0.895682785129691,0.899204094870685,864.658920225835
2048,6.74696759401659,18.3532895225074,155.172668167802,77.6232159619774,1069.88340926915,3.79388732503835,1.88834925755158,0.915122628012863,0.973226629538721,889.048444414869
2049,5.09523894214148,17.0029925491725,151.304863902151,78.5680164389414,1020.0453023687,3.72963592165137,1.71219988745831,0.836080659661434,0.876119227796874,822.865611096447
