"year","month","tmin","tmax","rads","relh","prec","wspd","es","ea","VPD","RET","prec.days","prec.max","prec.gt.12","prec.gt.25","prec.gt.50","prec.gt.76","prec.gt.101","aet","srunoff","drainage"
2052,6,14.5127104115385,28.1548955774583,218.328079891205,75.3217334747314,142.882699489594,3.69181677205488,2.79286648985331,1.28314959747924,1.50971689237407,119.726465422343,12,27.738000869751,5,2,0,0,0,2.09234966922135,0.31956925682346,1.9861343155039
2052,7,18.2161414303764,31.3541087792796,254.238387323195,78.1779358156266,47.6636182665825,2.67218482109808,3.36116671171458,1.64675481384709,1.71441189786749,139.735135856319,5,37.9339981079102,1,1,0,0,0,3.55977180250094,0.0743345638695806,1.17909746837353
2052,8,16.1766016793924,28.6537671326458,213.733367858395,81.1555805821573,172.085951268673,2.35212324223211,2.89882108305778,1.51127431973824,1.38754676331954,109.509242011141,14,37.1590003967285,4,3,0,0,0,2.98862632402483,0.555062386761631,1.5734428025998
2052,9,10.6221397974023,23.3113416418985,174.487566502889,82.7967679341634,73.8133981227875,3.34127702017625,2.18112166331131,1.12091865316062,1.06020301015069,74.1006840333924,9,17.757999420166,3,0,0,0,0,2.12626955295078,0.108202939155699,1.73793406225726
2052,10,5.33391003429862,17.4089669317844,98.4112260880009,80.8428387795725,135.718488514423,3.6500715921002,1.5629882398476,0.800254576823651,0.762733663023951,42.5759436605468,12,47.5789985656738,4,1,0,0,0,1.0709432542749,0.409120442109336,1.7672619709458
2052,11,-0.655562475976694,10.4813910787134,64.3545334498088,83.5219665527344,57.8945709466934,3.90547331968943,0.983024871752091,0.516223065091949,0.466801806660143,22.4887739683444,8,21.3770008087158,2,0,0,0,0,0.0782252141493004,0.0952679319528024,1.72904462056307
2052,12,-5.79306714203155,2.98696195085253,55.3734324824425,84.8217741443265,95.3060200810432,4.55357420444489,0.591095632985902,0.3451947446624,0.245900888323502,14.2897289015638,10,20.7609996795654,5,0,0,0,0,0.0171353906786398,0.0905948315986516,1.55122693133561
2053,1,-12.3877690931197,-2.84720860009141,63.037903447305,85.6699034167874,36.0960004925728,4.66573552162416,0.375297867542693,0.212226776772035,0.163071090770658,11.059593271911,8,20.6000003814697,1,0,0,0,0,0.0843422546591359,0.00594337994910862,1.26948504837069
2053,2,-14.2637257468875,-2.92087022381484,97.0346067973546,81.2332142421177,47.708601474762,4.3323250242642,0.369350751556843,0.180137365807105,0.189213385749738,15.086904663192,5,27.4080009460449,1,1,0,0,0,0.116194028817793,0.0760283502123011,1.11649778662355
2053,3,-3.65322188944703,8.33402345605676,149.290354605644,77.4393876598727,40.5755000114441,4.1610000171969,0.863530989853236,0.392426052718563,0.471104937134673,45.6325130721645,5,20.8050003051758,1,0,0,0,0,0.0826394531225525,0.188278590312971,1.52889021949843
2053,4,1.449936807555,14.0457655178979,167.502138725917,71.9836004892985,73.9419388771057,4.66122336387634,1.18920522639925,0.517615144814385,0.67159008158487,65.9161012300609,9,21.6189994812012,3,0,0,0,0,0.614229801847408,0.133523761172828,1.44164151520169
2053,5,8.51763160791574,22.2192940260267,208.959096293296,72.0596135047174,83.5179004669189,3.86278388577123,1.93958510776795,0.82270913225203,1.11687597551592,104.954949806778,5,47.0320014953613,2,1,0,0,0,1.07637685864145,0.353122702231245,1.7009821524472
2053,6,13.3730669571592,26.3897674581747,225.640267308553,72.3484664916992,202.130997657776,3.19774244402846,2.53510134185379,1.12664278166564,1.40845856018815,121.157600924723,7,100.669998168945,4,2,1,1,0,2.64349975917919,2.09272302402031,1.65860845275739
2053,7,15.1630576192349,28.2821001201398,270.635163091844,75.200934625441,34.1765998601913,2.53476549156251,2.80498858834758,1.31912905805039,1.48585953029718,139.387019332154,6,13.3059997558594,1,0,0,0,0,3.59842365962136,0.0296357125160776,1.04973927367254
2053,8,17.2125294336162,28.1025457230874,228.491291661416,80.8724840225712,70.9758014678955,2.84125290186174,2.91825169687481,1.62581468871538,1.29243700815943,115.898727099354,4,38.9410018920898,2,1,0,0,0,2.99330851691413,0.11068106366888,1.05585076138959
2053,9,12.653569511617,24.4753585765414,177.682699584961,78.4263665517171,39.68596053496,3.10453566908836,2.35130563409384,1.19879404417852,1.15251158991533,83.4643730399948,10,20.32200050354,1,0,0,0,0,1.60032087127208,0.0432580033879588,1.00408244885071
2053,10,4.66639882069093,16.3195576017536,99.942387242471,78.4654840038669,65.718420445919,3.81857872586096,1.42889792567958,0.703468516862878,0.725429408816698,46.9036163650811,9,20.7740001678467,3,0,0,0,0,0.583059022454871,0.0766297568460329,1.06978997664574
2053,11,-0.475971138633661,9.58944270924029,65.8977002779643,81.7154998779297,29.3231998682022,4.28327669302622,0.957090929429345,0.522310323598977,0.434780605830367,25.2419567738228,6,14.2360000610352,1,0,0,0,0,0.144111885312607,0.0160733853861514,0.981237497404161
