"aet.NSE","drainage.NSE","srunoff.NSE","aet.RMSE","drainage.RMSE","srunoff.RMSE","aet.NRMSE","drainage.NRMSE","srunoff.NRMSE"
0.298933834425367,0.708600286506918,0.346928791629669,0.804591360177628,3.16797125386511,0.651825363537958,0.21103607472917,0.128962526186852,0.196400687092041
0.651247184771845,0.620588764214433,0.0528442910243193,0.705622644272379,3.48675135288933,1.84557222807091,0.14467025479491,0.192391435374753,0.255391120865906
0.763957366872422,0.908851823901555,0.943244551618807,1.47399021054301,2.61027673693933,1.76289491310103,0.0978975273419287,0.073081863038703,0.0552439265093677
0.808156079341324,0.932389126534158,0.916245172870881,3.51615177962818,3.18460897658914,1.608736566297,0.128687662104607,0.0673032454641911,0.0782583538016469
0.708656035757514,0.741487930000234,0.930005889671298,3.68791693121911,4.27582147312342,3.46275943746,0.128520247452671,0.118782225315693,0.0532952224504573
0.761592624639385,0.867851686591986,0.961870152292888,5.97661572268039,4.65619797262266,5.06536601601529,0.121701774036129,0.09395418249114,0.0615987160644287
0.481031601709387,0.927175768043764,0.96377431621463,9.61865611598504,4.16444583242542,2.97101091274815,0.182447641420583,0.0547075450154531,0.0445047874729437
0.381472800750549,0.856381363939921,0.988202511241965,7.44213399577291,5.30401641191237,1.58511589033216,0.225357101708963,0.0781741990090525,0.0231773056894292
0.580464462846381,0.855021967922004,0.9386151731342,5.04418417359062,4.75791933472788,1.25428502569628,0.123815550991665,0.0766628825873683,0.0627269849287898
0.714158485740185,0.806208753925344,0.948586579934225,3.24075351566452,4.82938419821036,0.837235862486883,0.12435885609155,0.0949188195682269,0.0400577102654244
0.774560961193259,0.794888555788377,0.796060315065757,1.87147588556127,3.72702231817379,1.54575881969969,0.115872090570051,0.110646453091231,0.0874849127129154
-0.275021694015615,0.700660222855167,0.913415321711653,1.22581387831991,4.0955610821816,0.297933672197779,0.197673847040068,0.12035152993868,0.064945188778152
0.983606090140274,0.870278111995024,0.96261759827222,4.59943049652919,4.09483259656237,2.29614366224761,0.0361305230379129,0.0533695090684958,0.0278573179421399
